username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050351,4.333333333,149.075,584.6666667000001,2.666666667,5.786111111,17.5,4.166666667,30.87222222,113.0,13.33333333,10.66666667,2.666666667,0.7705627709999999,11.21119587,8.666666667000001,0.6614718620000001,12.33333333,0.914285714,1.6666666669999999,18.83333333,1.4030303030000002,36.16666667,2.8206349210000004,5.0,0.417027417,0.0,67.5,4.841702742,23.83333333,1.82005772,91.33333333,6.661760462,51.33333333,3.947763348,1.6666666669999999,104.66666670000001,7.661760462,249.0,18.42308802,2.166666667,2.166666667,1.333333333,2.166666667,5.777777778,6.983333332999999,2
Y1050352,4.666666667,169.65,825.0,2.833333333,29.47222222,93.66666667,4.0,14.63611111,63.83333333,11.16666667,9.833333332999999,1.333333333,0.895246584,11.16066704,5.333333333,0.45149676,8.666666667000001,0.8123390770000001,2.833333333,9.166666667000001,0.601445831,5.0,0.5061921739999999,1.8333333330000001,0.162176386,0.833333333,32.83333333,3.0654740680000003,11.83333333,0.8957205109999999,44.66666667,3.961194579,13.66666667,1.302297485,3.0,55.83333333,4.961194579,117.16666670000001,10.51863169,2.166666667,2.166666667,1.0,2.166666667,8.513888889,7.583333333,3
Y1050353,5.666666667,203.134127,1139.166667,3.833333333,14.18333333,59.5,4.666666667,36.55833333,170.33333330000002,18.0,11.16666667,6.833333333,0.589939489,8.145546174,12.0,0.6851247220000001,17.33333333,0.9602107,2.166666667,27.5,1.656458143,44.0,2.463889252,17.16666667,0.9934917940000001,1.0,92.66666667,5.0854991080000005,45.66666667,2.692394759,138.33333330000002,7.777893867,75.66666667,4.26115537,2.166666667,156.33333330000002,8.777893867000001,372.5,20.92144443,1.333333333,1.333333333,0.833333333,1.333333333,5.458333333,4.466666667,1
Y1050354,3.833333333,260.8785714,1034.666667,3.333333333,29.28333333,100.16666670000001,3.666666667,30.39285714,116.33333329999999,12.83333333,11.66666667,1.166666667,0.8485431240000001,8.030642227000001,6.166666667,0.416342916,11.66666667,0.927104377,3.5,18.66666667,1.219081844,52.0,4.003496504,15.33333333,1.041970992,0.166666667,61.33333333,4.572740223,34.16666667,2.276204351,95.5,6.848944574,76.16666667,5.792838643,3.666666667,108.33333329999999,7.848944576,283.6666667,20.73350816,1.333333333,1.333333333,0.666666667,1.333333333,4.796111111,5.45,1
Y1050355,0.833333333,34.875,60.0,0.666666667,4.666666667,7.0,0.5,1.75,2.666666667,1.0,0.5,0.5,0.166666667,3.24833491,0.333333333,0.111111111,1.0,0.333333333,0.0,0.166666667,0.055555556,0.333333333,0.111111111,0.0,0.0,0.0,1.0,0.333333333,0.166666667,0.055555556,1.166666667,0.38888888899999996,1.166666667,0.38888888899999996,0.0,2.166666667,0.7222222220000001,4.5,1.5,0.0,0.0,0.0,0.0,0.0,1.333333333,0
Y1050356,3.5,233.79166669999998,916.3333332999998,2.833333333,30.38888889,92.33333333,2.833333333,32.84166667,95.83333333,12.0,9.0,3.0,0.6016042779999999,4.3109799639999995,8.5,0.631283422,11.66666667,0.982620321,1.0,18.0,1.338324421,37.66666667,2.956684492,7.333333333,0.47468805700000005,0.333333333,49.16666667,3.835828877,25.66666667,1.837254902,74.83333333,5.673083779,54.5,4.249019608,1.0,86.83333333,6.67308378,217.16666669999998,16.66399287,0.833333333,0.833333333,0.666666667,0.833333333,3.027777778,3.166666667,1
Y1050357,1.6666666669999999,167.71428569999998,547.8333332999999,1.333333333,15.06666667,43.83333333,1.333333333,26.33333333,75.33333333,6.166666667,5.0,1.166666667,0.337301587,1.4924040280000002,5.333333333,0.41468254,6.166666667,0.5,1.0,19.66666667,1.535714286,27.0,2.224206349,5.833333333,0.515873016,0.166666667,38.33333333,2.845238095,25.66666667,2.065476191,64.0,4.910714285,38.0,3.192460318,1.0,70.16666667,5.410714285,173.16666669999998,13.56746032,0.5,0.5,0.333333333,0.5,2.462777778,2.116666667,0
Y1050358,3.666666667,313.2194445,1137.666667,3.166666667,41.91111111,126.5,3.0,19.25555556,64.83333333,11.83333333,5.333333333,6.5,0.464484127,11.23615226,4.166666667,0.308835979,11.33333333,0.945714286,1.5,7.666666667,0.5382539679999999,19.0,1.489351852,3.333333333,0.294960318,0.5,36.0,2.5727513230000003,11.5,0.8755952379999999,47.5,3.448346561,32.5,2.658716931,1.5,59.5,4.469179894,141.0,10.72648148,2.0,2.0,0.833333333,2.0,6.245555556,4.466666667,1
Y1050359,1.5,48.88333333,177.66666669999998,0.666666667,13.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.166666667,0.5,2.411666667,1.5,0
Y1050360,1.333333333,253.91666669999998,675.6666667000001,0.833333333,30.66666667,57.0,1.0,43.0,86.0,8.5,5.333333333,3.166666667,0.26388888899999996,4.488459873,5.0,0.30324074100000004,7.833333333,0.4375,1.166666667,28.16666667,1.7222222219999999,24.66666667,1.166666667,4.666666667,0.24537037,0.5,36.33333333,1.997685185,33.33333333,1.99537037,69.66666667,3.9930555560000003,36.0,1.7847222219999999,1.166666667,78.16666667,4.493055556,185.0,10.3287037,0.5,0.5,0.166666667,0.5,2.555555556,2.916666667,1
