username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050196,1.75,27.41666667,73.25,0.25,2.0,2.0,0.5,3.25,3.25,0.0,0.0,0.0,0.75,0.0,0.75,0.0,3.7199959239999996,2.0,0.25,0.125,0.75,0.5,0.0,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.125,0.0,0.5,0.25,0.25,0.125,0.75,0.375,1.0,0.625,0.0,0.0,1.5,0.875,3.25,1.875,0.0,0.0,0.0,0.0,0.0,13.75,0,10
Y1050197,3.5,400.0833333,1285.0,2.75,36.04166667,98.5,2.75,51.5625,136.75,0.0,0.0,0.0,13.25,11.0,2.25,0.8288461540000001,12.47059789,1.75,9.0,0.669230769,12.25,0.9240384620000001,2.75,0.20288461600000002,44.75,3.157371795,28.5,2.067307692,17.75,1.2919871790000002,12.25,0.869551282,1.5,62.5,4.449358975,42.25,3.047115385,104.75,7.496474359,39.25,2.8737179489999995,2.75,0.20288461600000002,118.0,8.496474359,264.75,19.06955128,4.25,2.5,2.75,2.75,6.416666667,73.25,1,80
Y1050198,1.75,153.125,285.25,1.25,15.375,28.75,1.5,16.5,25.25,0.0,0.0,0.0,4.0,3.0,1.0,0.5625,14.26682684,2.25,3.25,0.79375,4.0,1.0,0.75,0.1875,3.0,0.8875,8.25,3.325,4.75,1.54375,0.75,0.15,0.5,7.75,2.43125,9.5,3.63125,17.25,6.0625,9.0,2.4125,0.75,0.1875,21.25,7.0625,48.25,15.725,0.0,0.0,0.0,0.0,0.0,37.25,0,20
Y1050199,2.5,180.54166669999998,590.25,1.5,25.5,51.0,2.25,28.33333333,85.0,0.0,0.0,0.0,9.0,6.25,2.75,0.525595238,6.829479856,1.0,5.0,0.41547619,8.5,0.708333333,1.0,0.084523809,40.25,3.536309524,13.25,1.083333333,14.0,1.211904762,3.5,0.29345238100000004,0.25,54.25,4.7482142860000005,17.0,1.3946428569999998,71.25,6.142857143,25.25,2.14702381,1.0,0.084523809,80.25,6.892857143,177.75,15.26726191,12.75,2.5,2.75,4.25,5.875,52.5,0,30
Y1050200,2.75,269.625,764.5,1.0,17.375,34.75,2.0,71.75,143.5,0.0,0.0,0.0,5.75,4.25,1.5,0.732738095,8.269208371,2.25,4.75,0.747619048,5.5,0.9642857140000001,0.25,0.035714286,6.5,0.966964286,28.5,5.116964286,81.5,14.84940476,11.25,2.153571429,0.25,88.0,15.81636905,40.0,7.30625,128.0,23.12261905,98.25,17.967261899999997,0.25,0.035714286,133.75,24.12261905,360.25,65.24821428,3.5,1.0,1.25,1.0,2.166666667,30.25,0,30
Y1050201,3.75,258.4375,974.25,3.0,21.89583333,61.75,3.5,36.52083334,125.0,0.0,0.0,0.0,12.75,11.25,1.5,0.888731061,12.75494328,1.25,8.75,0.697916667,12.25,0.961647727,1.0,0.080018939,17.0,1.370738636,17.25,1.3958333330000001,48.5,3.944602273,16.0,1.302083333,0.25,65.5,5.315340909,33.5,2.71875,99.0,8.034090909,75.25,6.080965909,1.0,0.080018939,111.75,9.03409091,287.0,23.22916667,3.25,1.25,1.5,2.0,7.2875,69.0,1,68
Y1050202,4.0,267.875,1071.5,3.5,24.58333333,88.75,3.5,33.29166667,118.0,0.0,0.0,0.0,12.5,12.25,0.25,0.9833333329999999,11.09461482,1.25,2.5,0.181944445,12.5,1.0,3.5,0.274305556,4.75,0.333680556,2.25,0.164236111,79.25,6.4392361110000005,14.0,1.142361111,0.5,84.0,6.7729166670000005,16.75,1.3388888890000001,100.75,8.111805556,102.5,8.322916667000001,3.5,0.274305556,113.25,9.111805556,320.0,25.82083333,3.0,1.75,1.0,2.5,7.785,77.5,1,75
Y1050203,0.5,83.0,83.0,0.25,7.25,7.25,0.5,2.75,2.75,0.0,0.0,0.0,0.75,0.25,0.5,0.125,1.854896747,1.25,0.25,0.125,0.25,0.25,0.25,0.125,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.125,1.25,0.75,2.25,1.375,0.0,0.0,0.0,0.0,0.0,19.25,0,10
Y1050204,2.0,303.0416667,552.5,1.75,30.16666667,42.75,2.0,30.66666667,53.75,0.0,0.0,0.0,9.0,6.75,2.25,0.7479797979999999,1.7631659069999999,1.5,4.25,0.47121212100000004,8.0,0.8939393940000001,3.0,0.337373738,12.0,1.284848485,8.5,1.036363637,12.25,1.445959596,4.25,0.577272727,1.0,24.25,2.730808081,13.75,1.7318181819999998,38.0,4.462626263,23.0,2.7484848489999996,3.0,0.337373738,47.0,5.462626263,111.0,13.01111111,0.25,0.25,0.25,0.25,7.2675,82.25,0,90
Y1050205,2.5,235.25,643.25,1.5,21.45833333,42.5,2.0,24.04166667,66.75,0.0,0.0,0.0,9.5,8.25,1.25,0.695652174,9.825821657999999,2.75,4.25,0.369565218,9.0,0.708333333,3.25,0.355978261,3.25,0.20108695699999998,10.5,1.373188406,25.0,3.086956522,5.5,0.546195652,0.25,28.25,3.288043478,16.25,1.940217391,44.5,5.22826087,35.75,3.9836956519999998,3.5,0.37681159399999997,54.0,5.97826087,137.75,15.56702898,2.5,1.25,0.5,1.25,8.174166667,83.75,1,88
