username,active_num_days,seek_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Problem_num_day,hw_mean,exam_mean,predict_score,real_score
Y1050403,0.6,0.0,0.0,0.0,2.8,0.2,0.588235294,2.4,18.0341613201,20.0
Y1050404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,10.8271039408,10.0
Y1050405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.23551514681,10.0
Y1050406,0.4,0.4,0.0,0.0,0.4,0.2,0.0,1.2,7.33307155779,10.0
Y1050407,2.0,3.8,5.6,5.6,34.6,0.2,1.132352941,1.8,14.312753272,10.0
Y1050408,0.2,0.0,0.0,0.0,0.4,0.0,0.0,2.0,13.5007169145,10.0
Y1050409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,8.03130954378,10.0
Y1050410,0.4,0.0,0.0,0.0,0.8,0.0,0.0,2.8,18.9701242852,20.0
Y1050411,0.6,0.0,0.0,0.0,0.2,0.2,0.352941176,1.6,11.5109821874,10.0
Y1050412,4.4,10.4,75.0,39.0,116.0,0.2,3.176470588,5.2,41.8996996368,30.0
Y1050413,4.0,9.8,8.0,57.4,101.2,1.2,5.838235294,4.6,48.8552518051,60.0
Y1050414,4.8,14.0,61.6,83.8,182.0,1.6,8.352941176,4.6,55.311462042,53.0
Y1050415,2.6,8.4,30.4,20.0,79.6,0.6,3.073529412,4.2,36.3024541725,30.0
Y1050416,6.0,3.4,4.2,6.0,18.6,1.4,7.705882353,6.4,68.9523901768,63.0
Y1050417,3.6,5.8,39.6,23.8,39.8,1.2,5.779411765,6.6,63.02619741,62.0
Y1050418,1.2,0.6,0.0,1.0,4.6,1.0,2.0,1.4,14.7584190775,20.0
Y1050419,0.4,1.6,0.6,7.6,11.8,0.0,0.0,1.4,8.91359745045,10.0
Y1050420,4.4,2.6,8.6,2.2,7.6,1.6,8.808823529,6.4,74.1024767989,75.0
Y1050421,1.8,7.8,36.8,10.4,20.6,1.2,7.01,4.8,56.5084376615,60.0
Y1050422,1.8,6.0,16.8,8.8,56.8,0.0,0.0,5.6,35.9634192842,40.0
Y1050423,1.6,2.2,4.6,3.0,22.6,0.2,0.098235294,1.4,7.84729564156,10.0
Y1050424,1.4,6.0,23.6,16.6,30.2,0.2,0.0,2.8,16.4881236289,30.0
Y1050425,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.91450223544,10.0
Y1050426,2.0,4.2,9.6,4.6,20.2,0.0,0.0,6.4,42.2676971897,40.0
Y1050427,3.2,7.8,31.0,31.6,43.0,1.0,7.730588235,9.4,91.2657438962,96.0
Y1050428,2.0,2.8,10.8,1.6,24.8,0.0,0.0,2.8,17.1475807891,20.0
Y1050429,1.2,5.8,15.4,37.6,17.6,0.0,0.0,0.4,0.841978866291,10.0
Y1050430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050432,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47288095548,0.0
Y1050433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050434,2.0,1.2,2.2,2.4,15.2,0.0,0.0,2.8,17.6747613712,20.0
Y1050435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.2250011392,10.0
Y1050436,0.4,0.4,1.0,0.6,2.4,0.0,0.588235294,0.8,7.32179725395,10.0
Y1050437,0.4,0.0,0.0,0.0,1.8,0.0,0.0,0.0,-0.613871780958,0.0
Y1050438,1.0,5.6,44.8,11.8,43.0,0.4,0.941176471,1.0,6.91636934475,10.0
Y1050439,3.8,0.0,0.0,0.0,6.8,0.0,0.0,2.4,14.1079939226,10.0
Y1050440,2.4,9.0,22.2,27.2,49.2,0.4,2.235294118,1.2,13.0265160657,10.0
Y1050441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050442,1.0,2.0,7.0,5.4,29.0,0.0,0.0,2.0,12.3050949712,10.0
Y1050443,0.2,0.2,1.2,0.0,1.4,0.0,0.0,0.0,-0.54342738279,0.0
Y1050444,2.2,0.6,0.6,0.0,21.2,0.4,0.49,2.0,13.1564450937,10.0
Y1050445,2.8,5.6,34.2,3.8,56.4,0.0,0.0,4.2,25.1821282873,20.0
Y1050446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050447,0.4,1.4,4.8,5.0,10.4,0.0,0.0,1.4,8.82963852765,10.0
Y1050448,4.6,4.4,7.2,7.4,84.4,0.2,1.117647059,3.2,21.7605044345,20.0
Y1050449,3.0,9.4,3.6,52.0,99.0,0.0,0.0,4.0,23.8666581814,20.0
Y1050450,2.2,4.4,17.2,10.6,35.0,0.2,0.25,2.4,14.464927112,10.0
Y1050451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050452,2.6,8.8,38.2,10.2,35.6,0.0,0.0,6.0,37.7573169572,40.0
Y1050453,3.0,2.4,6.8,3.0,51.8,0.2,0.397058824,2.8,17.5746018865,20.0
Y1050454,3.4,13.6,23.4,27.0,41.0,1.0,8.117647059,7.6,79.645283616,90.0
Y9999984,3.6,12.2,16.2,50.4,51.4,0.8,4.264705882,5.8,51.9631992817,66.0
Y9999985,1.6,4.4,46.2,3.2,5.4,0.0,0.0,8.0,52.9764269986,59.0
