evaluation_num,kfold_split_num,username,watched_time_weekday,qz_mean,video_pause_backward_seek_avg,label_val_predict,label_val_test
1,9,Y1050321,-1.10001293992,0.843933617958,-0.883912199642,33.9087699373,20.0
1,9,Y1050332,0.0967906748565,0.446916003344,0.297814884478,29.1168324843,40.0
1,9,Y1050360,1.29359428964,0.0498983887306,0.115648032422,23.3911457823,30.0
1,9,Y1050375,-0.381930771057,0.18223759347,0.473980946008,25.6141119674,30.0
1,9,Y1050378,-0.621291494011,1.63796884719,5.05687031258,82.1033355488,93.0
1,9,Y1050390,0.0967906748565,-1.00881525037,-0.883912199642,8.15127461016,10.0
1,9,Y1050397,-1.33937366288,0.0498983887306,-0.883912199642,22.935050028,20.0
1,9,Y1050419,-1.33937366288,-0.611797635758,-0.883912199642,13.7729937908,10.0
1,9,Y1050423,0.0967906748565,-1.00881525037,0.0860114761124,8.81530388682,10.0
1,9,Y1050434,1.77231573554,0.314576798606,1.83187409165,28.1894360461,20.0
1,9,Y1050443,-1.10001293992,-1.53817206972,-0.883912199642,0.925367489821,0.0
1,9,Y1050445,1.53295501259,0.843933617958,-0.453912703746,33.9749329442,20.0
1,9,Y1050454,0.33615139781,0.976272822697,-0.173928069008,69.2771791309,90.0
1,10,Y1050281,-1.10001293992,-0.744136840497,-0.431281150866,12.3982486876,10.0
1,10,Y1050288,-1.33937366288,-1.53817206972,-0.883912199642,1.09707777399,0.0
1,10,Y1050306,0.0967906748565,-1.40583286499,-0.883912199642,2.17257110125,10.0
1,10,Y1050311,0.33615139781,-0.214780021144,0.664005975939,20.1865958023,20.0
1,10,Y1050325,0.814872843724,-0.347119225883,1.03976975647,18.554671758,20.0
1,10,Y1050339,-1.10001293992,0.579255208083,-0.786919831998,30.161607993,20.0
1,10,Y1050348,-0.621291494011,-0.214780021144,-0.171018298176,19.7197518906,10.0
1,10,Y1050350,0.33615139781,-0.214780021144,1.15292751883,20.7494943807,10.0
1,10,Y1050351,0.575512120771,1.37329043731,-0.154999861441,76.3354247744,70.0
1,10,Y1050372,0.575512120771,0.446916003344,0.238664236171,28.6596700436,50.0
1,10,Y1050379,0.0967906748565,1.37329043731,1.68265506451,78.6983914466,60.0
1,10,Y1050394,0.0967906748565,0.18223759347,-0.204965626818,24.7616168862,20.0
1,10,Y1050395,-0.860652216966,-1.53817206972,-0.770754437278,0.980094542437,10.0
1,10,Y1050396,-0.621291494011,0.314576798606,0.616897730347,27.8960081658,20.0
1,10,Y1050425,-1.33937366288,-0.744136840497,-0.883912199642,12.0007628457,10.0
1,10,Y1050431,-1.33937366288,-1.53817206972,-0.883912199642,1.09707777399,0.0
1,10,Y1050438,0.0967906748565,-0.876476045236,-0.0540886107854,10.3970758255,10.0
1,10,Y1050452,1.53295501259,0.711594413219,-0.184787144568,31.3121843737,40.0
2,1,Y1050305,-0.621291494011,0.976272822697,-0.280404134834,35.3510421539,20.0
2,1,Y1050313,0.575512120771,-0.0824408160083,-0.883912199642,20.2752983255,30.0
2,1,Y1050314,-0.381930771057,-0.479458430622,-0.235826834365,15.2945492617,30.0
2,1,Y1050326,1.53295501259,0.18223759347,1.5232620128,27.2921419768,20.0
2,1,Y1050345,-1.33937366288,-1.00881525037,-0.883912199642,6.83624990504,10.0
2,1,Y1050346,-1.33937366288,-0.214780021144,-0.883912199642,17.847377808,50.0
2,1,Y1050348,-0.621291494011,-0.214780021144,-0.171018298176,18.9729517743,10.0
2,1,Y1050356,0.0967906748565,-0.0824408160083,0.537518727091,21.9281931827,30.0
2,1,Y1050359,-1.33937366288,-0.479458430622,-0.883912199642,14.177001844,20.0
2,1,Y1050363,-1.33937366288,-1.53817206972,-0.883912199642,0.0,0.0
2,1,Y1050380,0.575512120771,0.579255208083,0.160620989007,64.6280442039,80.0
2,1,Y1050385,2.49039790441,1.90264725706,0.417402065165,50.0447302285,40.0
2,1,Y1050395,-0.860652216966,-1.53817206972,-0.770754437278,0.0,10.0
2,1,Y1050405,-1.33937366288,-1.27349365985,-0.883912199642,3.16587394105,10.0
2,1,Y1050433,-1.33937366288,-1.53817206972,-0.883912199642,0.0,0.0
2,1,Y1050440,0.33615139781,-0.744136840497,-0.552718749517,11.4449180658,10.0
2,1,Y1050441,-1.33937366288,-1.53817206972,-0.883912199642,0.0,0.0
2,1,Y1050450,2.72975862737,-0.214780021144,0.0472145285125,20.2867538852,10.0
2,1,Y9999984,0.0967906748565,0.843933617958,1.63876791052,70.0231791838,66.0
2,2,Y1050299,-0.381930771057,-1.00881525037,-0.544438913229,8.50965898104,10.0
2,2,Y1050307,-0.381930771057,-1.53817206972,-0.883912199642,0.886611002331,10.0
2,2,Y1050330,-0.142570048097,-0.214780021144,-0.233255067578,19.6820212541,10.0
2,2,Y1050331,0.33615139781,-0.611797635758,-0.459570591627,13.9171972924,10.0
2,2,Y1050333,0.575512120771,-0.0824408160083,-0.799043878039,20.7375699718,10.0
2,2,Y1050335,0.0967906748565,-0.0824408160083,0.9670620544,22.8016761901,10.0
2,2,Y1050336,0.575512120771,0.976272822697,-0.553868726816,35.496187146,50.0
2,2,Y1050339,-1.10001293992,0.579255208083,-0.786919831998,30.080778958,20.0
2,2,Y1050341,0.0967906748565,-0.611797635758,0.390601542696,14.912298433,20.0
2,2,Y1050350,0.33615139781,-0.214780021144,1.15292751883,21.1605038162,10.0
2,2,Y1050379,0.0967906748565,1.37329043731,1.68265506451,78.8635294255,60.0
2,2,Y1050396,-0.621291494011,0.314576798606,0.616897730347,27.9583085493,20.0
2,2,Y1050421,0.575512120771,1.10861202783,-0.56707046543,72.6351528822,60.0
2,2,Y1050425,-1.33937366288,-0.744136840497,-0.883912199642,11.9075854135,10.0
2,2,Y1050428,2.01167645851,0.314576798606,-0.253461810299,26.5438701452,20.0
2,2,Y1050429,0.33615139781,-1.27349365985,-0.883912199642,4.3883873204,10.0
2,2,Y1050431,-1.33937366288,-1.53817206972,-0.883912199642,1.0452711446,0.0
2,2,Y1050436,-0.860652216966,-1.00881525037,-0.748122885077,8.36008597141,10.0
