username,forum_num_days,problem_avg_count,video_backward_seek_avg,watched_time_hour,qz_mean,indicator,final_score
Y1050378,2.61288603518,-1.31061465371,-0.196380745009,1.33831992796,0.414032849297,1.0,93.0
Y1050379,0.434874467729,-0.696851384378,-0.810224156694,0.239518508401,1.70007352119,1.0,60.0
Y1050380,2.18309972525,-1.01040775258,-0.226257540243,-0.0148602038527,0.125946842169,1.0,80.0
Y1050381,1.99269737868,-0.642402272912,0.436756211166,0.500220549931,-0.101393365972,0.0,55.0
Y1050382,-0.984415056958,0.104279296135,-0.116935053222,-0.407506369255,0.340089863508,0.0,20.0
Y1050383,-1.64695657643,0.212674096051,-0.158977184836,-0.132572518027,0.218256951408,0.0,10.0
Y1050384,2.8020925699,5.17677281832,-1.02746324547,-0.330917352316,-1.10022042412,0.0,30.0
Y1050385,4.20317879244,1.25227286615,3.70615874494,-1.19046327299,1.06876637749,0.0,40.0
Y1050386,-0.519909071193,-0.120182623325,-0.172315970654,-0.0280677245196,0.450644329749,0.0,30.0
Y1050387,0.51838554925,0.25702692414,1.3328493738,0.369636087872,-1.17567725014,0.0,10.0
Y1050388,-1.304943945,0.140789280938,-0.171443305824,0.223470636559,0.958133276245,0.0,20.0
Y1050389,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050390,-1.69911008939,0.24903494634,-0.123225195454,-0.090740955296,0.253487111121,0.0,10.0
Y1050391,-1.13580417702,-0.00457559744999,-0.334126145405,-0.47093514561,0.156697294622,0.0,10.0
Y1050392,-1.25432163587,0.123408223053,-0.183511524274,0.24928850064,1.03260306399,0.0,20.0
Y1050393,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050394,-0.922251265834,-0.0759765693366,-0.121580706026,0.121244653089,-0.17599250379,0.0,20.0
Y1050395,-1.76054472721,0.297218801901,-0.0628293397764,-0.00889014016958,0.287905186523,0.0,10.0
Y1050396,0.762389383571,-0.00668376035074,0.968155369931,0.289787877303,-0.939133193153,0.0,20.0
Y1050397,-1.55805549067,0.227694570361,-0.111102213575,0.0943813161542,0.585784337511,0.0,20.0
Y1050398,-1.59419265881,0.14205176682,-0.233623516097,-0.295633303417,-0.0373478387219,0.0,0.0
Y1050399,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050400,-0.387076495896,-0.240994626161,0.0295043493303,0.361496906436,-0.637111632105,0.0,20.0
