username,week,num_days,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
Y1050277,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050278,0,3.0,3.0,53.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050278,1,4.0,4.0,144.0,576.0,3.0,22.33333333,67.0,3.0,8.666666667,26.0,0.0,0.0,0.0,10.0,8.0,2.0,0.8,0.2,12.61060403,5.0,2.0,0.2,8.0,0.8,3.0,0.3,5.0,0.5,4.0,0.4,2.0,0.2,2.0,0.2,0.0,0.0,7.0,0.7,6.0,0.6,13.0,1.3,11.0,1.1,3.0,0.3,23.0,2.3,50.0,5.0,3.0,3.0,1.0,3.0,0.0
Y1050278,2,2.0,2.0,99.0,198.0,1.0,30.0,30.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,7.510749517,7.0,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.5,4.0,1.0,8.0,2.0,3.0,3.0,3.0,3.0,0.0
Y1050278,3,1.0,1.0,205.0,205.0,1.0,21.0,21.0,1.0,12.0,12.0,0.0,0.0,0.0,6.0,3.0,3.0,0.5,0.5,9.006608611,7.0,2.0,0.333333333,6.0,1.0,1.0,0.166666667,0.0,0.0,3.0,0.5,2.0,0.333333333,1.0,0.166666667,0.0,0.0,2.0,0.333333333,4.0,0.666666667,6.0,1.0,8.0,1.333333333,1.0,0.166666667,12.0,2.0,27.0,4.5,3.0,3.0,3.0,3.0,0.0
Y1050278,4,6.0,6.0,92.5,555.0,0.0,0.0,0.0,4.0,4.0,16.0,0.0,0.0,0.0,5.0,1.0,4.0,0.2,0.8,12.1001701,1.0,4.0,0.8,3.0,0.6,0.0,0.0,0.0,0.0,3.0,0.6,4.0,0.8,1.0,0.2,0.0,0.0,4.0,0.8,4.0,0.8,8.0,1.6,6.0,1.2,0.0,0.0,13.0,2.6,27.0,5.4,0.0,0.0,0.0,0.0,0.0
Y1050278,5,5.0,5.0,196.0,980.0,4.0,31.75,127.0,4.0,16.5,66.0,0.0,0.0,0.0,9.0,5.0,4.0,0.555555556,0.444444444,12.69845885,1.0,5.0,0.555555556,9.0,1.0,0.0,0.0,1.0,0.111111111,15.0,1.666666667,23.0,2.555555556,7.0,0.777777778,0.0,0.0,24.0,2.666666667,22.0,2.444444444,46.0,5.111111111,38.0,4.222222222,0.0,0.0,55.0,6.111111111,139.0,15.44444444,3.0,3.0,1.0,3.0,0.0
Y1050278,6,3.0,3.0,1026.0,3078.0,3.0,180.6666667,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Y1050279,0,1.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050279,1,4.0,4.0,520.25,2081.0,4.0,45.75,183.0,3.0,40.66666667,122.0,0.0,0.0,0.0,14.0,9.0,5.0,0.642857143,0.357142857,11.56938129,3.0,8.0,0.571428571,13.0,0.928571429,1.0,0.071428571,5.0,0.357142857,15.0,1.071428571,51.0,3.642857143,23.0,1.642857143,0.0,0.0,56.0,4.0,38.0,2.714285714,94.0,6.714285714,86.0,6.142857143,1.0,0.071428571,108.0,7.714285714,289.0,20.64285714,3.0,3.0,2.0,3.0,0.0
