username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050190,4.25,348.5833333500001,1425.75,3.25,25.875,71.5,3.0,82.9,211.0,0.0,0.0,0.0,11.75,9.25,2.5,0.8291666665,12.89970691325,2.75,10.5,0.91770833325,11.0,0.95104166675,1.5,0.10729166675000001,35.25,4.23125,48.25,4.3354166665,69.5,6.0916666665,23.5,2.14375,0.75,104.75,10.3229166675,72.5,6.53229166675,177.25,16.855208332500002,101.5,8.9645833325,1.5,0.10729166675000001,189.0,17.855208332500005,469.25,43.7822916675,10.25,3.25,1.25,7.0,8.315833332999999,83.25,90.0
Y1050191,2.75,328.833333325,711.0,1.75,15.5625,23.75,2.25,97.4,196.0,0.0,0.0,0.0,10.0,3.25,6.75,0.24305555550000002,2.1258095152500003,3.25,8.75,0.6765873017499999,8.75,0.6765873017499999,0.0,0.0,153.5,12.884424605,9.5,0.7405753967500001,8.25,0.6393849205,4.0,0.2981150795,0.0,161.75,13.523809525,13.5,1.038690476,175.25,14.5625,20.25,1.5644841269999998,0.0,0.0,185.25,15.3125,380.75,31.4394841275,0.25,0.25,0.25,0.25,0.4166666670000001,40.25,40.0
Y1050192,2.75,385.458333325,1048.75,1.75,72.875,118.5,2.25,28.2083333325,59.75,0.0,0.0,0.0,12.5,9.5,3.0,0.7664554195000001,11.3257610025,2.75,6.0,0.4604895105,11.75,0.94375,0.75,0.06335227275000001,11.5,0.8527316432500001,10.75,0.8113417832500001,9.0,0.6925917832499999,7.0,0.58756555925,0.0,20.5,1.5453234265,17.75,1.39890734275,38.25,2.9442307692500003,25.25,2.0533435315,0.75,0.06335227275000001,50.75,3.9442307692500003,115.0,9.00515734225,17.25,3.25,8.0,6.25,7.9725,66.5,70.0
Y1050193,3.0,90.9583333325,401.25,1.25,16.875,31.75,2.5,9.0,31.5,0.0,0.0,0.0,5.0,3.25,1.75,0.4833333335,5.095008491000001,1.25,2.75,0.4125,5.0,0.75,0.25,0.02083333325,3.75,0.3125,3.25,0.425,12.5,1.95,5.25,0.76666666675,0.25,16.25,2.2625,8.75,1.2125,25.0,3.475,22.0,3.3125,0.25,0.02083333325,30.0,4.225,77.25,11.0333333325,0.5,0.5,0.25,0.5,0.083333333,31.25,20.0
Y1050194,3.25,224.166666675,636.25,2.5,21.375,52.75,2.25,31.625,74.5,0.0,0.0,0.0,6.25,4.0,2.25,0.4783549785,16.494532065,3.25,4.75,0.8187229435000001,6.25,1.0,0.25,0.02272727275,9.5,1.2786796537499998,25.0,3.82034632025,20.0,3.00108225125,8.25,1.01731601725,0.0,29.5,4.27976190475,33.25,4.8376623375,62.75,9.1174242415,34.0,4.74567099575,0.25,0.02272727275,69.0,10.1174242415,166.0,24.003246755,0.75,0.75,0.25,0.75,1.333333333,33.75,20.0
Y1050195,5.5,313.28869047500007,1726.75,4.5,22.6416666675,100.5,4.25,43.395833335,182.75,0.0,0.0,0.0,11.25,10.0,1.25,0.9115384615000001,12.473908452500002,1.0,7.75,0.6989010987500001,11.25,1.0,2.0,0.19899267399999998,19.75,1.6596153845,23.5,2.0836080585000003,107.25,9.830860805750001,13.5,1.21758241775,0.0,127.0,11.49047619075,37.0,3.3011904760000004,164.0,14.7916666675,130.0,11.84945055,2.0,0.19899267399999998,175.25,15.7916666675,471.25,42.6317765575,1.75,1.5,0.5,1.75,1.541666667,57.5,40.0
Y1050196,1.75,27.416666665,73.25,0.25,2.0,2.0,0.5,3.25,3.25,0.0,0.0,0.0,0.75,0.0,0.75,0.0,3.71999592425,2.0,0.25,0.125,0.75,0.5,0.0,0.0,0.25,0.125,0.0,0.0,0.25,0.125,0.25,0.125,0.0,0.5,0.25,0.25,0.125,0.75,0.375,1.0,0.625,0.0,0.0,1.5,0.875,3.25,1.875,0.0,0.0,0.0,0.0,0.0,13.75,10.0
Y1050197,3.5,400.083333325,1285.0,2.75,36.0416666675,98.5,2.75,51.5625,136.75,0.0,0.0,0.0,13.25,11.0,2.25,0.82884615375,12.4705978855,1.75,9.0,0.6692307692499999,12.25,0.9240384615,2.75,0.20288461550000006,44.75,3.1573717949999995,28.5,2.06730769225,17.75,1.29198717925,12.25,0.8695512822499999,1.5,62.5,4.4493589745,42.25,3.0471153845,104.75,7.496474359,39.25,2.8737179485000004,2.75,0.20288461550000006,118.0,8.496474359,264.75,19.06955128275,4.25,2.5,2.75,2.75,6.416666667,73.25,80.0
Y1050198,1.75,153.125,285.25,1.25,15.375,28.75,1.5,16.5,25.25,0.0,0.0,0.0,4.0,3.0,1.0,0.5625,14.26682684325,2.25,3.25,0.79375,4.0,1.0,0.75,0.1875,3.0,0.8875,8.25,3.325,4.75,1.54375,0.75,0.15,0.5,7.75,2.43125,9.5,3.63125,17.25,6.0625,9.0,2.4125,0.75,0.1875,21.25,7.0625,48.25,15.725,0.0,0.0,0.0,0.0,0.0,37.25,20.0
Y1050199,2.5,180.54166665,590.25,1.5,25.5,51.0,2.25,28.3333333325,85.0,0.0,0.0,0.0,9.0,6.25,2.75,0.52559523825,6.829479856000002,1.0,5.0,0.41547619049999995,8.5,0.70833333325,1.0,0.08452380949999999,40.25,3.5363095239999995,13.25,1.08333333325,14.0,1.2119047617499998,3.5,0.29345238100000004,0.25,54.25,4.7482142857500005,17.0,1.39464285725,71.25,6.14285714275,25.25,2.1470238095,1.0,0.08452380949999999,80.25,6.89285714275,177.75,15.267261905000002,12.75,2.5,2.75,4.25,5.875,52.5,30.0
Y1050200,2.75,269.625000025,764.5,1.0,17.375,34.75,2.0,71.75,143.5,0.0,0.0,0.0,5.75,4.25,1.5,0.7327380952500001,8.26920837125,2.25,4.75,0.7476190475000001,5.5,0.96428571425,0.25,0.035714285750000005,6.5,0.96696428575,28.5,5.11696428575,81.5,14.849404760999999,11.25,2.1535714285000003,0.25,88.0,15.81636904675,40.0,7.30625,128.0,23.1226190475,98.25,17.967261904,0.25,0.035714285750000005,133.75,24.1226190475,360.25,65.24821428499999,3.5,1.0,1.25,1.0,2.166666667,30.25,30.0
