username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050246,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,7.833333333,55.0,3.0
Y1050247,1.0,74.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,14.0,4.0,1.0,8.0,7.333333333,100.0,3.0
Y1050248,1.0,126.0,1.0,5.0,4.0,1.0,4.0,2.0,11.0,0.0,1.0,5.0,2.0,7.0,4.0,5.0,4.0,7.5,90.0,3.0
Y1050249,1.0,142.0,1.0,6.0,5.0,1.0,5.0,3.0,22.0,1.0,2.0,12.0,3.0,22.0,3.0,19.0,4.0,4.0,88.0,3.0
Y1050250,1.0,68.0,1.0,4.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,10.0,3.0,20.0,3.0,4.166666667,0.0,1.0
Y1050251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050252,1.0,215.0,1.0,9.0,9.0,0.0,7.0,4.0,23.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0
Y1050253,3.0,511.0,3.0,9.0,4.0,5.0,9.0,2.0,97.0,11.0,14.0,46.0,2.0,5.0,3.0,1.0,5.0,1.333333333,55.0,1.0
Y1050254,1.0,189.0,1.0,4.0,2.0,1.0,3.0,1.0,51.0,27.0,5.0,4.0,1.0,9.0,3.0,19.0,5.0,8.333333333,83.0,2.0
Y1050255,2.0,144.0,1.0,7.0,5.0,1.0,6.0,4.0,22.0,0.0,2.0,15.0,4.0,11.0,4.0,3.0,6.0,6.333333333,95.0,4.0
Y1050256,1.0,103.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,7.0,4.0,3.0,4.0,2.416666667,85.0,3.0
Y1050257,1.0,206.0,1.0,2.0,0.0,2.0,2.0,0.0,61.0,14.0,17.0,12.0,0.0,2.0,2.0,1.0,2.0,1.0,65.0,4.0
Y1050258,1.0,76.0,1.0,2.0,0.0,2.0,1.0,0.0,10.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,1.666666667,65.0,1.0
Y1050259,1.0,748.0,1.0,12.0,11.0,6.0,11.0,0.0,58.0,18.0,11.0,22.0,0.0,6.0,4.0,1.0,6.0,8.0,85.0,8.0
Y1050260,1.0,1071.0,1.0,12.0,11.0,6.0,12.0,3.0,63.0,0.0,16.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0
Y1050261,4.0,1035.0,1.0,3.0,2.0,1.0,3.0,0.0,17.0,5.0,0.0,12.0,0.0,4.0,4.0,1.0,4.0,7.666666667,90.0,8.0
Y1050262,4.0,681.0,3.0,9.0,2.0,7.0,5.0,1.0,30.0,9.0,1.0,9.0,1.0,4.0,4.0,1.0,4.0,5.666666667,100.0,5.0
Y1050263,4.0,974.0,2.0,12.0,10.0,6.0,12.0,3.0,42.0,2.0,5.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0
