username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
104602037.0,2.833333333,278.34722220000003,683.0,22.86111111,44.16666667,1.333333333,5.0,2.833333333,0.459498835,6.5,2.166666667,1.333333333,2.666666667,9.905555556,8.388888889,1,61.61
104602501.0,2.666666667,112.16269840000001,411.8333333,9.333333332999999,28.0,1.5,6.0,4.5,0.519345238,1.8333333330000001,1.333333333,0.833333333,1.333333333,9.822222222,7.833333333,0,56.93
104602502.0,2.833333333,335.7361111,931.3333332999998,33.25,47.66666667,1.8333333330000001,7.166666667,5.666666667,0.707051282,3.333333333,1.8333333330000001,1.333333333,2.0,9.355555555,7.333333333,1,67.38
104602503.0,1.5,185.4444445,377.0,21.0,21.0,0.666666667,5.333333333,4.5,0.424242424,3.5,1.333333333,0.333333333,1.333333333,8.611111111,5.666666667,0,48.27
104602504.0,2.666666667,65.54166667,164.16666669999998,1.6666666669999999,1.6666666669999999,1.333333333,3.333333333,2.5,0.6373015870000001,4.333333333,1.8333333330000001,1.0,2.333333333,9.355555555,7.666666667,1,71.49
104602505.0,3.0,174.31666669999998,546.6666667000001,24.80555556,38.33333333,2.166666667,7.0,4.666666667,0.6151936029999999,5.166666667,1.6666666669999999,1.166666667,2.0,9.027777777999999,8.777777777999999,1,81.71
104602506.0,2.666666667,175.16666669999998,520.0,15.5,15.5,1.6666666669999999,4.5,4.333333333,0.653846154,6.5,1.8333333330000001,1.333333333,2.166666667,9.366666667,7.444444444,1,63.62
104602507.0,1.333333333,78.8,239.0,7.333333333,21.5,0.5,1.333333333,1.333333333,0.166666667,2.666666667,1.6666666669999999,1.166666667,1.8333333330000001,8.833333334,7.055555555,1,39.87
104602508.0,3.166666667,198.98611110000002,694.5,13.06944445,42.0,1.6666666669999999,4.333333333,3.0,0.672222222,6.0,2.0,2.333333333,3.0,9.3,8.277777777999999,1,60.32
104602509.0,1.8333333330000001,168.16666669999998,336.6666667,10.69444445,21.0,1.166666667,2.5,1.5,0.45833333299999995,4.166666667,1.5,1.166666667,1.6666666669999999,9.066666666,6.5,0,47.45
104602510.0,2.333333333,253.1333333,621.6666667000001,20.29166667,38.16666667,1.6666666669999999,7.166666667,6.5,0.446839081,6.666666667,2.0,1.333333333,3.166666667,9.855555555,8.5,1,70.1
104602511.0,2.666666667,312.5,869.6666667000002,24.25,42.33333333,1.6666666669999999,6.833333333,6.5,0.8,3.666666667,1.8333333330000001,1.5,2.333333333,9.944444445,9.111111111,1,78.77
104602513.0,3.5,260.4805556,767.0,26.75,45.5,1.6666666669999999,3.333333333,2.5,0.622222222,6.166666667,2.0,1.5,2.166666667,9.972222222000001,9.833333334,1,93.69
104602514.0,3.666666667,215.94166669999998,846.1666667000002,23.68333333,43.33333333,1.8333333330000001,8.333333332999999,6.833333333,0.5214490970000001,5.166666667,2.166666667,1.6666666669999999,3.0,9.65,9.166666667000001,1,74.75
104602515.0,2.666666667,177.63888889999998,519.3333333,40.16666667,45.33333333,1.0,3.5,2.333333333,0.34166666700000003,5.333333333,1.5,0.833333333,1.6666666669999999,8.711111111000001,7.833333334,1,60.84
104602516.0,4.166666667,122.3869048,603.3333332999999,24.08333333,39.0,2.166666667,4.666666667,4.666666667,0.833333333,8.166666667000001,2.0,1.6666666669999999,2.333333333,9.916666667000001,9.0,1,56.89
104602517.0,1.5,132.3055556,292.1666667,21.83333333,31.83333333,0.666666667,0.5,0.5,0.333333333,0.333333333,0.166666667,0.166666667,0.166666667,9.466666667,8.944444444,0,82.97
104602519.0,1.6666666669999999,242.0,391.1666667,23.16666667,30.0,0.833333333,1.8333333330000001,1.0,0.358333333,4.0,2.166666667,1.166666667,2.333333333,9.894444444,9.777777777999999,1,94.97
104602520.0,2.166666667,195.77777780000002,524.6666667,34.83333333,44.5,1.0,5.666666667,2.5,0.2625,0.666666667,0.333333333,0.333333333,0.333333333,5.811111111000001,4.722222222,0,48.24
104602521.0,4.0,304.4369048,1410.333333,29.66666667,45.66666667,2.0,7.666666667,6.0,0.54003268,4.5,2.166666667,2.166666667,2.833333333,9.455555555,7.722222222,1,80.87
104602522.0,4.0,219.0888889,825.8333332999999,33.0,49.0,1.5,10.33333333,6.5,0.56213705,8.5,2.0,1.5,2.166666667,8.794444444,7.055555556,1,59.34
104602524.0,1.8333333330000001,163.38888889999998,264.3333333,15.41666667,22.0,0.666666667,2.0,1.0,0.27777777800000003,3.833333333,1.8333333330000001,1.0,2.0,9.283333333,6.833333334,1,68.02
104602525.0,1.8333333330000001,133.9722222,321.1666667,18.41666667,28.0,1.0,2.666666667,1.6666666669999999,0.511904762,3.833333333,1.5,2.0,2.333333333,9.144444445,6.722222222,1,59.69
104602526.0,2.5,112.54166670000001,443.0,8.055555555,23.83333333,1.166666667,6.0,4.166666667,0.391666667,4.833333333,2.0,1.5,2.166666667,9.722222222000001,8.444444444,1,76.48
