username,active_num_days,problem_num_days,video_num_days,complete_rate,pause_video_sum,pause_video_avg,all_type_video_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050265,0.666666667,0.666666667,0.666666667,0.472222222,4.166666667,0.429292929,4.5,0.0,0.0,0.0,0.0,40.0,0
Y1050266,1.833333333,1.666666667,1.666666667,0.7792207790000001,6.666666667,0.780483406,10.83333333,1.0,0.666666667,0.666666667,0.764705882,72.66666667,1
Y1050267,2.333333333,2.166666667,2.166666667,0.507051282,6.5,0.5461843710000001,10.33333333,1.166666667,0.833333333,1.166666667,1.705882353,51.16666667,1
Y1050268,4.166666667,2.5,2.666666667,0.5071225070000001,7.833333333,0.7521367520000001,6.0,0.0,0.0,0.0,0.0,83.16666667,2
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333332999999,0
Y1050270,1.333333333,1.0,1.166666667,0.294444445,4.0,0.4166666670000001,3.666666667,2.666666667,1.666666667,1.666666667,4.666470588,47.83333333,1
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050273,0.833333333,0.166666667,0.5,0.125,1.166666667,0.5,0.5,2.333333333,1.666666667,2.166666667,4.544117647,35.66666667,1
Y9999986,2.5,2.166666667,2.166666667,0.657814408,8.5,0.819444445,39.83333333,0.5,0.333333333,0.333333333,0.705882353,73.0,1
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.83333333,0
Y9999988,1.666666667,0.5,0.833333333,0.427946128,5.0,0.61969697,4.0,0.0,0.0,0.0,0.0,47.16666667,1
Y9999989,0.666666667,0.5,0.666666667,0.5,2.5,0.375,0.166666667,0.0,0.0,0.0,0.0,79.66666667,1
Y9999990,3.833333333,3.0,3.0,0.902777778,10.33333333,0.979166667,13.5,0.0,0.0,0.0,0.0,89.16666667,2
Y9999991,0.666666667,0.5,0.333333333,0.291666667,3.333333333,0.261904762,1.166666667,0.0,0.0,0.0,0.0,61.33333333,1
Y9999992,1.833333333,1.833333333,1.833333333,0.782407408,8.0,0.7440349,6.0,0.0,0.0,0.0,0.0,53.5,1
Y9999993,1.166666667,0.833333333,1.166666667,0.457729469,10.16666667,0.5,35.0,0.333333333,0.333333333,0.333333333,0.0,73.5,1
Y9999994,0.333333333,0.166666667,0.333333333,0.166666667,1.666666667,0.233333333,0.666666667,0.0,0.0,0.0,0.0,30.83333333,0
Y9999995,1.333333333,0.666666667,0.833333333,0.383597884,4.166666667,0.605820106,2.5,0.0,0.0,0.0,0.0,79.83333333,1
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333,1
Y9999997,1.5,1.166666667,1.166666667,0.564102564,5.5,0.616096866,4.0,0.0,0.0,0.0,0.0,83.83333333,1
Y9999998,1.5,0.666666667,1.333333333,0.478835979,6.666666667,0.485449736,5.0,0.0,0.0,0.0,0.0,64.83333333,1
Y9999999,2.333333333,0.5,1.833333333,0.46489899,11.0,0.59040404,14.5,0.0,0.0,0.0,0.0,100.8333333,2
os0,1.5545058592484562,1.1908914933084225,1.1908914933084225,0.5549095529811464,5.457606553905755,0.6222602948137375,4.006056206595274,0.0,0.0,0.0,0.0,83.11870095342915,1
os1,1.7806817717578878,1.0363094511028867,1.4473484387578877,0.4963975405544433,7.780681771757887,0.62775799405888,22.36417636545223,0.3972402529321101,0.333333333,0.333333333,0.2706646015466337,65.49853847699178,1
os2,0.3958625190413323,0.2639083457636465,0.2639083457636465,0.19793125952066612,0.3958625190413323,0.2639083457636465,0.2639083457636465,2.7710376332893265,1.1875875571239969,1.7154042494430148,2.6466902298767074,32.60086867832945,1
