,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21
pause_video_avg,0.15254883604,-0.1039672785,0.0514630567546,-0.0411346409842,-0.266607746222,-0.103749447716,0.0380583265106,0.00141503214018,-0.0148394035277,-0.0314332840083,-0.125225133726,0.0928614574732,0.0425065358569,0.0812324036426,0.00250925885678,-0.174090036606,0.0692178604641,0.3032111524,-0.109748295991,-0.262322036439,-0.00990315034767
stop_video_sum,0.120196343537,-0.101580269746,0.301805356729,0.0833902329653,0.172690933847,-0.0772973413138,0.0450874677375,0.0804740650956,0.0329129881634,-0.0632624339485,0.0401118994586,-0.0819960036764,-0.244455577275,-0.209145508335,0.0908812852933,-0.0914711104929,-0.00978122301817,-0.0438362065633,0.0201923486247,-0.0108570559649,0.165183579928
stop_video_avg,0.0923639296245,-0.0665608892114,0.358928768845,0.132722656232,-0.0437590252982,0.0545202109705,0.238451250363,0.035595784741,0.0724938054191,-0.0220872043501,-0.00330635223712,-0.24997176006,-0.11407523358,0.0790960727591,-0.178630935535,0.261891858415,0.00329282185465,-0.0441299349898,-0.0776692690701,-0.124724870836,-0.172775844038
video_forward_seek_sum,0.12245985634,0.116125997463,-0.103129574979,-0.303521074263,0.120492089751,0.0577325751087,0.177175798675,0.0061462031643,0.0331359716111,0.070389682673,-0.175247175213,-0.240488216849,0.102680881053,-0.0978221317389,-0.0456374881268,-0.0994249483273,0.0523152663493,-0.0967832591289,0.0135068728545,0.0215202148786,-0.0675295098125
video_forward_seek_avg,0.11650095782,0.119655777362,-0.112361266565,-0.286098768968,-0.0286884252635,0.115771984869,0.2131312185,-0.119097992493,-0.0626359477363,0.163920123744,-0.0139601100667,-0.240746043398,-0.0734876663831,-0.270538647084,0.0923683901323,-0.133672398981,0.194824518181,-0.0279365610596,-0.103604255194,-0.0276803427899,-0.18902955109
video_backward_seek_sum,0.141539946113,0.0898318336447,0.0533230655718,-0.173026969297,0.126598084943,0.238882149373,-0.0888450862849,0.126784408948,0.0264452607658,-0.227837298648,0.167806233547,0.104521901844,-0.0544263709081,0.118550828791,-0.142049908682,0.00338828067281,-0.259950816214,0.150251868597,-0.045521940181,-0.102174614655,0.0823222121968
video_backward_seek_avg,0.128968802603,0.106060340476,0.0408421650526,-0.13062198834,-0.111757457034,0.358160089183,-0.0434464842994,0.00219251761716,-0.0802080364036,-0.198904454818,0.344986277476,0.14907559645,-0.0669632197598,-0.0202563944365,-0.0694618178891,0.095119552007,0.0843292366142,0.0256310481057,0.224807683801,-0.0649817706835,-0.0512171692898
video_pause_forward_seek_sum,0.159452485281,0.124878405446,-0.0568665202784,0.17145182943,0.0488688510969,-0.0827116682311,-0.0759079049555,0.0418045617873,-0.0563961376397,0.042028565597,-0.124787836573,0.0882007135346,-0.0111888522955,0.132696726218,-0.00838413580393,0.132243488917,-0.217743054327,-0.041340161798,-0.145926069207,-0.029401174161,-0.0555407650359
video_pause_forward_seek_avg,0.139606528374,0.14569744239,-0.026748295761,0.222972202659,-0.162736908379,-0.0490613470168,0.00431698994882,0.0310227804272,-0.15721769415,0.0201125465034,-0.185730576379,0.141018667714,-0.239485487729,0.100556275731,0.0742190867449,0.0904441512805,-0.179031405423,-0.0312918236455,0.181219685696,0.0816553660237,0.0752515031188
video_pause_backward_seek_sum,0.127143549579,0.128154012181,-0.00508239618364,0.284840545927,0.09556150229,-0.148974346608,-0.129392737087,-0.0997402805036,0.238821580339,0.00758178530006,0.120779863578,-0.0987783488875,0.179609863502,-0.113988019074,-0.0360639388363,-0.0826046378588,0.183061773921,-0.0505937437633,-0.153092018399,0.0362298562988,-0.0434415931474
