,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27,comp 28
num_watched,0.161165485125,-0.112145521516,-0.0049341444744,-0.0695730261046,0.0546960444645,0.0290038349173,-0.177776890853,-0.142437087358,0.190416692406,0.0496558351335,-0.0774481223759,0.0937488343856,0.00823488891415,-0.00716424549171,-0.00968639736181,-0.00387268050086,-0.0600542089714,0.107545855619,0.00431810354681,-0.0850691536917,0.0898327360093,0.14790916529,0.0435757977235,-0.10710149958,0.0352280114518,-0.234911799067,-0.0719901439683,-0.0687011772895
num_complete,0.156192930253,-0.100129998823,-0.103906180663,-0.000637126730421,0.122274933502,0.0968938196427,-0.100531668126,-0.154304792942,0.201115075905,0.133425341317,0.0374679383803,0.124214822024,-0.0872685760502,-0.0440538469978,-0.0457635029089,-0.0825192785405,-0.00440305537311,0.0236765086515,-0.132726016523,-0.000281851105225,0.175132774834,0.162678295839,0.0837208338502,-0.117369366901,0.0646533357034,-0.303988483171,-0.1084490617,-0.151739600563
num_incomplete,0.09330056329,-0.0867985702618,0.250604702111,-0.211057150948,-0.145450437877,-0.159092490442,-0.286408054426,-0.0408754094096,0.0678560598404,-0.189370104128,-0.332566288763,-0.0310254937087,0.248320312702,0.0907445934111,0.0874059156539,0.199163232589,-0.172328421929,0.268229148865,0.352581457605,-0.259337598328,-0.173194488633,0.0361925950823,-0.0808623026374,-0.0272977546945,-0.0576260068601,0.0591690965916,0.0572291857546,0.177977699242
complete_rate,0.147697729471,-0.120632937609,-0.143705034171,-0.0738280474919,-0.0115916849975,0.138698860056,0.122162969482,-0.068607175674,0.137781625187,0.187811508338,0.156569352239,0.154903711867,-0.0684722395623,0.0547908316082,0.0855202065492,-0.153512924161,-0.129903764434,0.326624311125,-0.03271871353,0.0335761992831,-0.0382105386149,-0.0913079612136,0.0736331468456,0.161203543797,-0.054929529508,0.181501787211,0.109871887652,0.36729337636
incomplete_rate,0.0449445149164,-0.0870863575351,0.257651918884,-0.272505024556,-0.36710212062,-0.173121510404,-0.0135786432686,0.13500957667,-0.111070524019,-0.228537533064,-0.311969529275,-0.076119402343,-0.00886186051026,-0.062304986175,-0.0962964205639,-0.123279479438,0.269009348049,-0.08241865652,-0.391817259685,0.117111112637,0.135686762545,0.00937680532161,0.132384875263,-0.0429633073668,-0.00796983536766,-0.0772868941637,-0.0595500139734,-0.0462583489005
watched_time_hour,0.12520101923,-0.172068374503,-0.0270681810766,-0.139084847365,-0.1343884686,0.0143467860812,0.123125568072,0.0126514608259,0.0438722022764,0.0970360866166,0.0328909107042,-0.124410112876,-0.54273687219,-0.275831760721,-0.139738767621,0.632301625473,0.150898680455,0.0847983268151,0.140818497548,-0.00557004860653,0.0609232332235,-0.140281893544,-0.0302214104843,-0.0153525176922,0.0282564617644,-0.00356403407376,0.0166794448475,-0.020538443468
watched_time_weekday,0.0886519663953,-0.106346950513,0.0229430470618,-0.296945212878,-0.234972691313,0.193237089452,0.0855179237502,0.287662604037,0.260510553427,-0.0856620578964,0.176314061255,0.294283255085,-0.145692988796,0.0902087208074,0.278125880672,-0.164194588531,0.0223851888664,-0.446421137768,0.163313765394,-0.299894060494,0.00164548928465,0.0160041052903,-0.156835708216,-0.140719223609,0.0165232005076,0.0389666284688,0.0566435199179,-0.0485794228239
seek_video_sum,0.160762912261,-0.00284770799647,0.0573107562125,-0.0848596733149,0.148559091081,-0.0915374627968,-0.138679095336,-0.099566991053,0.193001823044,-0.031250526071,-0.0497609413669,0.0186111291913,0.0571632316437,-0.0792624926751,-0.0169029803534,0.0761366909866,-0.340452254404,-0.198517257994,0.0687294885331,0.176882707203,0.0729630479354,-0.159927437815,0.131256567135,-0.0928442850702,0.182944462494,0.159193294337,-0.0433831684361,-0.120737735828
seek_video_avg,0.151077105344,-0.00946670014778,0.103552388426,-0.198461036775,-0.0119594031904,-0.126083867926,0.0629737619472,0.0155859686347,0.041136694067,-0.0406863162392,0.068086986603,-0.0358959385634,-0.00251527727941,-0.216876553885,-0.186906571757,-0.0795591824099,-0.528083842917,-0.275080247149,0.051145186315,0.326641536657,0.103954712573,-0.0492935227647,0.119480109455,0.214485664925,-0.193182919606,0.0441723670229,0.082385610531,0.0116796986539
pause_video_sum,0.162850474039,-0.0989560630829,-1.8997640066e-05,-0.0502335052661,0.0431293663639,0.040013469072,-0.178407869418,-0.143481367205,0.186201572874,0.0610042821503,-0.0479779108627,0.14488583291,-0.000511693676838,0.00563589567608,-0.0155722247526,-0.0114330247685,-0.0115063642153,0.122421013972,-0.0497000906151,-0.0389298128406,0.0511214626535,0.0851178549217,0.0507749887771,-0.0820079437627,0.01286441767,-0.279070617054,-0.113228409662,-0.107272553588
