,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24
seek_video_avg,0.155127813999,-0.0737059232712,0.107761712874,-0.0299262910879,0.17481013933,-0.0750181957335,0.0765455742866,0.0610081329138,0.143788436882,-0.13067623326,-0.0677768407209,0.0592085585618,-0.03816606688,-0.169265303909,-0.229137350951,0.33062459036,-0.144802994326,-0.389031303954,-0.0118091168797,-0.149679174693,0.0733967543049,0.271038541184,-0.120696787167,0.114908978282
pause_video_sum,0.169701955985,0.120486004622,-0.0359070625533,0.0353349759752,0.0559827504073,-0.00202947606806,-0.16031838763,-0.15120505633,-0.0252939797045,-0.0660976429058,0.0772794194963,0.0482700161357,-0.117103863419,-0.0314567862235,-0.171593565128,-0.0978060488996,0.0578296344993,0.0598851375087,0.0399377642797,-0.0158476408952,0.0422985101148,-0.0871436635103,0.0474085482701,-0.115453528371
pause_video_avg,0.159052488228,0.0677672706744,0.054898728332,-0.0191837088495,0.146242912943,-0.254496745067,0.0389366385352,0.0585675422806,-0.0103738266997,-0.138799981259,-0.0465605021601,0.0196811327552,-0.152199093153,-0.03642934617,-0.197688661043,-0.187244849215,0.0705513283913,0.079632652817,-0.367553292216,-0.0186871328834,0.0310989481649,-0.136695261616,-0.0514779979453,0.188928824923
stop_video_sum,0.089019178944,0.232726272459,-0.28687796903,-0.0429569214739,0.0459220986688,0.0320182596179,-0.0839618460348,0.10144583453,-0.0362227814512,-0.0989943750468,0.0643520020422,0.000654228980465,0.133354734927,0.0309674697652,0.0446143635368,-0.122972631133,-0.279051680154,0.110374942937,0.049567397463,0.0378480101926,-0.00274503814939,0.0885053816199,-0.201721040618,-0.0737688879279
stop_video_avg,0.0516916581733,0.240318697799,-0.249603802205,-0.0862648083605,0.115065029323,0.00966437034902,0.124817818693,0.250514074398,-0.132074385877,-0.0880328494507,0.0101320751404,0.0250778470735,0.287561995311,-0.0159222992455,0.0266657047227,0.206820794233,0.160037752793,-0.0388227079288,-0.0055462324665,0.0451948268681,0.0025442990393,-0.01300161436,0.0969146435665,0.0991917413593
video_forward_seek_sum,0.110985492308,-0.114228224177,0.1253285056,0.052480896979,0.176591319994,0.351563465263,-0.23421291429,0.178632174902,-0.0243601585271,0.0288163561526,-0.0923511261971,0.0273940731009,-0.0013389712658,-0.00815127592062,0.112035707507,-0.0559868644842,0.0331806244936,0.0779788341673,-0.088046743889,0.0992595330177,-0.0364939635602,-0.107311047402,0.0691628476826,0.273974424539
video_forward_seek_avg,0.0973120627435,-0.134952814756,0.177394795157,0.0459205418866,0.178014994922,0.238066243052,-0.174214757136,0.313538577053,-0.0461593956232,0.00357884083298,-0.21388194227,-0.0158553550461,0.0589829331342,-0.0345123433693,-0.0683149244439,-0.107238824679,0.0284529931419,0.00487546627218,0.0492704607659,0.167990049169,0.161959763854,0.138959378289,-0.187499867359,-0.226195306057
video_backward_seek_sum,0.155918886211,-0.113742117533,-0.0618137152374,-0.0161710508639,-0.0618736568784,0.142387039817,0.163340107506,-0.140480039996,0.160379535247,-0.184326716044,-0.100026277966,0.0439964475687,0.158062882803,0.0128635135076,0.154945397346,0.00660474361782,-0.00146209924896,0.0822876362891,-0.0714547223417,-0.189341671843,-0.0667027586636,0.0508840062157,0.0941335096651,-0.0101137620133
video_backward_seek_avg,0.136576486036,-0.158156681821,-0.0462211763072,-0.0264493327534,-0.0228948612244,0.0202499770624,0.288962536308,-0.0368487405088,0.169043827724,-0.240391683599,-0.206174709072,0.0238770408767,0.09048654312,-0.0317868514148,-0.0267517000271,-0.0386948178366,-0.0441309313288,0.23019416968,0.0946576767462,-0.200931056551,0.0350775097123,-0.211866020151,-0.0152230256021,-0.13500502569
video_pause_forward_seek_sum,0.164638861349,-0.0575944633641,-0.109826036089,0.0226193521971,-0.161890206571,-0.0945860935575,-0.00178952870715,-0.0666120705365,-0.142339024472,0.174789790987,0.184712399972,0.022117867452,-0.0055662111013,0.0996029350197,0.0466575851797,0.17655866449,0.0881434920869,0.0460803291427,-0.124264217537,-0.16125443682,0.0922966169434,0.0486352580003,-0.0983059653715,-0.0841458642916
video_pause_forward_seek_avg,0.141831863775,-0.111439980695,-0.0779912448021,0.00344597890699,-0.159368332531,-0.253012478653,0.110646233321,0.124208940118,-0.207417963616,0.176342251909,0.10573827484,-0.0274729283011,-0.0885927471086,0.000187948081478,0.00609938155235,0.0165964535378,-0.119180093212,0.00327448934153,0.134335484354,-0.129789898777,-0.0846232798223,0.00824721279927,0.123114998018,0.0617606782452
video_pause_backward_seek_sum,0.168640467792,-0.021271933298,-0.0854276942268,0.0189909088242,-0.133379671662,0.0408041070332,0.00856385532367,-0.187494050837,0.128098700715,-0.0290277695177,0.184890891915,-0.0600605856224,0.079000327732,-0.00112078326493,0.00701029774533,-0.0824638020186,0.171185438371,-0.200652905911,-0.000580398157979,0.379816161747,0.103328755208,0.0923236960038,-0.085668854947,-0.053292747149
video_pause_backward_seek_avg,0.166173098322,-0.0833149576847,-0.0641437151867,0.00317703800898,-0.136574231267,-0.0790940977043,0.107521544526,-0.0678010760182,0.107458449688,-0.0663369689103,0.0956683575293,-0.121558709284,0.035254425601,-0.0448119842593,-0.0566392782787,-0.23141025918,0.0886871116769,-0.205001780144,0.110653388383,0.511412031414,0.0240351939451,0.116055173978,-0.0550899521137,0.275713666817
video_stop_backward_seek_sum,0.094143943133,0.133696636528,-0.180715149682,-0.0158160539643,0.0433529059588,0.158032617058,0.0239987153646,0.139141966931,0.404951002097,0.172319710572,0.0913760325947,-0.0737924251564,-0.413877368485,0.136449722341,0.165312521351,-0.228803217444,-0.285131704173,-0.0322553243113,0.0329209241585,-0.142064643799,-0.123473188236,0.150277861875,0.121693834835,0.134299386946
video_stop_backward_seek_avg,0.0479358647593,0.113877776224,-0.121396651892,-0.134389188739,0.143837130434,0.132395073064,0.278699967213,0.221265733386,0.350636449912,0.344385941672,0.0279401921136,-0.0277233145813,-0.301893075499,-0.0376222198613,-0.0773386280419,0.159586909874,0.371640789638,-0.0283652397037,0.00148093615934,0.0754787068666,0.0154086460002,-0.20775636436,-0.0642295650698,-0.21568337574
all_type_video_forward_seek_sum,0.172580464515,-0.10518834606,0.00336821693813,0.0458397729018,0.000120729138119,0.147699955204,-0.140363262458,0.0630335918727,-0.106653862021,0.13031675582,0.0647265316162,0.0306046736691,-0.004400364795,0.0596558096611,0.096802758957,0.0810594569656,0.0768005517972,0.0761872446465,-0.132801153146,-0.0454296957429,0.0380789382679,-0.0322852530591,-0.0225537053171,0.108345769087
all_type_video_forward_seek_avg,0.1545187083,-0.155750771148,0.0506021512548,0.0293270675362,-0.00490885105076,-0.0339493472444,-0.0263135108772,0.269369937178,-0.169518547218,0.123181334693,-0.0529729155407,-0.0281724997244,-0.0261993365606,-0.0201339290248,-0.0359212810456,-0.0515668843729,-0.0651260387921,0.00511082646961,0.121165232373,0.00951442044791,0.0369862071866,0.0872488974673,-0.0255521966186,-0.0903982673264
all_type_video_backward_seek_sum,0.167061959212,-0.0847015587107,-0.075508606981,-0.00584136695479,-0.0855861406684,0.118172223845,0.119688722303,-0.156604983952,0.16459918163,-0.136567851303,-0.0102117794191,0.0104816068132,0.128121239357,0.0120053594226,0.116521332557,-0.026934870605,0.0468389319251,-0.00606773252985,-0.050332990864,-0.0172007255752,-0.017492474443,0.0692049736751,0.0426265869325,-0.0210467055603
all_type_video_backward_seek_avg,0.152974181671,-0.139923286808,-0.0571392267693,-0.0227395343761,-0.0535093823219,-0.00447082665831,0.25639409246,-0.0413472755281,0.168596802619,-0.189874062838,-0.125305635668,-0.0189480263889,0.0695663694811,-0.0381838125393,-0.0390600594845,-0.0930117617029,0.00391741627687,0.110873956929,0.103770467529,0.00325178954608,0.0338504815582,-0.130303453334,-0.029586035733,-0.0256081748949
