,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,indicator
seek_video_avg,0.150134783465,-0.0322229914668,-0.158250365294,0.000139515830017,0.12009816837,0.0490900973598,0.219036422026,-0.0131639481187,0.10668092799,0.174752457409,0.0380883160888,-0.214438141207,-0.200809712897,-0.0424835936085,0.0406837696752,0.101975004009,-0.0811874525641,0.134856169304,0.192680397872,0.297466581117,0.235183355921,-0.409486258977,-0.153049962733,-0.101779166692,-0.0418275582616,
pause_video_sum,0.166653732448,-0.00431107319551,0.0768644051045,-0.0221581615663,-0.00331326599116,0.0829245045585,-0.160951966341,0.00187098928771,0.243288059194,0.010042515549,-0.00368404193363,-0.00208356941502,0.0844668933821,-0.0508360978072,-0.106857135249,-0.0724229242318,0.00366696821,-0.150913787261,-0.0114614724091,0.0255924596317,-0.0135312307271,-0.00398904480208,-0.0617758608028,0.128524104495,-0.0821420692138,
pause_video_avg,0.153437782212,-0.129973255612,-0.101860087171,0.110101856405,0.0113367493716,0.126961080188,-0.0248376297965,0.023228953567,0.153211875905,-0.014309341967,0.00793797618922,-0.0826307712443,-0.0436090756218,-0.0677926646459,0.0630088685572,-0.192451203112,0.0364536477344,-0.048508475396,-0.0905328122722,-0.173932225161,0.0128147997023,-0.0235792329835,-0.226726719477,0.0877618091783,-0.00262818680931,
stop_video_sum,0.143833625194,-0.00334530525241,0.17764461445,0.0988708131307,-0.227691388096,0.0437770139402,-0.0129754220477,0.0980949475239,0.0216892081722,0.172111345636,-0.0679803608471,0.170063376943,0.0868196534956,0.0990288223411,-0.111362709763,-0.28561413162,0.0326366419364,0.0661020938665,0.108268085479,0.141936511223,-0.0773517151548,-0.0813238909894,0.151473737074,0.0100399140978,0.156762451911,
stop_video_avg,0.111715660159,-0.134314289024,0.156815461075,0.220966427489,-0.228485195749,0.075136885575,0.0631365399213,0.174041122095,-0.0828150553052,0.208779512824,-0.026375857014,0.143984401246,0.115167497692,-0.0658073230208,0.180663232512,0.375022660267,0.0486200906937,-0.0353661409372,0.0115938979857,-0.0591834704636,0.19339275061,0.0228226597623,0.0497405016008,0.0295024870338,-0.0284457646056,
video_forward_seek_sum,0.116867564088,0.261300573747,0.0882324419675,-0.0833241765078,0.129636772932,0.0482184606792,0.00151670688956,0.114669614958,-0.146838129511,0.0560980974723,-0.0259167106511,0.0859762256995,-0.0486714552705,-0.0311800655929,0.101969754487,-0.0306937903982,-0.00891337861507,0.0398262513724,-0.0611976598077,-0.0923530920971,-0.0462810716989,0.0854095756061,-0.0348791709311,0.00721766879046,0.197545842325,
video_forward_seek_avg,0.119705244303,0.164149412157,-0.0530136188563,-0.0697854539389,0.261686399143,0.118686540554,0.0639990811969,0.222607250854,-0.254459719751,0.233175426537,-0.0865620379238,-0.0899267429956,-0.137696848685,-0.126956977905,-0.203379491175,-0.0156973933914,0.0906788590791,-0.0225664201729,0.254788805381,-0.099770443777,0.0649154092095,0.0897069814479,0.0859171092185,0.0655627926448,-0.14525183605,
video_backward_seek_sum,0.1383010293,0.200461712178,0.0961092366253,-0.0652015891845,-0.0255910384142,-0.0638505362387,0.147308669112,-0.119554926637,0.0702047908727,-0.0767801436568,-0.155503462296,0.0437147645282,0.0362998187101,-0.0647865127427,0.230008733657,-0.0300249355269,-0.0560823092531,-0.219768870012,-0.046433897112,-0.0730384696631,-0.11272855654,-0.110053914333,0.0411831202954,0.0685315470735,-0.1117524968,
video_backward_seek_avg,0.133347625075,0.0443124572864,-0.100063782969,0.0326180840637,-0.0155350915598,-0.0899584294987,0.410997625172,-0.25505212262,0.201702555663,0.156936655798,-0.283242007664,-0.0569016903085,0.112770058555,0.340761707836,-0.0922433914818,0.0526355099037,0.042381596419,0.00788325475128,-0.101290526271,0.00698081777764,0.0362464805581,0.19459571214,-0.0241816808073,0.000678062124407,0.0444633704654,
video_pause_forward_seek_sum,0.150554165172,0.0390511579977,-0.0534173298594,0.0631934185371,-0.106421057266,-0.182797038283,-0.290041096808,-0.144775171344,0.00572932921794,-0.131525937468,0.0919360714522,-0.160744852943,0.0726683966832,0.188753276553,0.0768759674608,0.123956498088,0.0690948728611,-0.0391428960297,0.225315549426,0.17454121487,0.240859811535,0.107603473385,0.00520876049617,-0.137276629577,0.0393134591602,
video_pause_forward_seek_avg,0.116445823107,-0.0668509664519,-0.255881177344,0.179914696145,-0.107313539602,-0.211240039382,-0.187775773181,-0.0559147960738,-0.16898374621,-0.0390503295709,0.121973145074,0.0790166882314,0.0693770765071,0.160216683021,0.0167340881973,-0.0568814585475,0.00187802078679,-0.118621176048,-0.157268404035,0.0756203882549,-0.0693118671379,-0.0894817999782,0.0273035894095,0.0746581206234,-0.071134318185,
video_pause_backward_seek_sum,0.158468209796,0.0896145147884,0.0395920526365,-0.0486569680643,-0.0741744188878,-0.160950033901,-0.0122871271082,-0.052962784433,0.185243291645,-0.206609170504,0.00943160516286,-0.00638816052699,-0.0157684260256,-0.238727087615,-0.0134735025085,0.116791662821,-0.0267213161479,0.157106035923,0.0891542410693,-0.0882118771525,0.0452099603419,0.0039199144366,0.135543295577,0.143609869873,-0.233206314123,
video_pause_backward_seek_avg,0.13269465256,-0.0306100317059,-0.199019133326,0.100133473338,-0.0493233482753,-0.211459396862,0.0862441167345,0.070840049669,0.0815306273281,-0.181519885571,0.0851738306303,0.274822256096,-0.0298729162453,-0.536288088254,-0.152021789558,0.0892527106493,-0.0582501045795,0.203841755863,-0.0245788341293,-0.129950737844,-0.11174169236,-0.104160572696,0.0365901477677,-0.204357749705,0.218221520822,
video_stop_backward_seek_sum,0.137665698843,0.0711342177831,0.20123530872,0.0327028383512,-0.143513548512,-0.0499461291422,0.196401774779,0.208625268355,-0.0527222080019,-0.179463777488,0.112011839124,-0.082289225845,-0.0598263744132,0.102224029686,-0.0271673667616,-0.290928440195,0.0278759227576,0.0314304481888,-0.0505022124998,-0.0209065800206,-0.029262759824,-0.0462271749842,0.0346395630063,-0.576692868925,-0.406964303789,
video_stop_backward_seek_avg,0.107166055188,-0.0445707800614,0.135207015178,0.0994354113541,-0.187867731908,0.00388186928606,0.340169242129,0.322358664537,-0.121676248416,-0.426137083564,0.207530696268,-0.389290992891,-0.106017737893,0.113281592657,-0.155541333139,0.0876979623624,0.0259078904479,-0.195736120997,-0.0304424351695,0.0178499968434,-0.0791830813208,-0.0124136574373,-0.114348631274,0.326856936624,0.230547952725,
all_type_video_forward_seek_sum,0.141220231629,0.222431051368,0.0542202846805,-0.0472063537318,0.0709027786896,-0.0185402057809,-0.0897383415992,0.0468354841725,-0.116316602586,0.00387687522143,0.00798478474846,0.0187469829393,-0.0163610691193,0.0341134208515,0.106130909073,0.0141839741669,0.0144987747975,0.0197599480833,0.0214340435961,-0.0195497849537,0.0383073764975,0.10244656729,-0.0264225414352,-0.0372449082598,0.171230412141,
all_type_video_forward_seek_avg,0.148951064715,0.0601473130823,-0.195936995951,0.070801473876,0.0954159006945,-0.0601416665743,-0.0794215855823,0.103669221618,-0.26666065137,0.121007770161,0.0234486551138,-0.00598245300899,-0.0419944689474,0.022510347603,-0.116566996659,-0.0460034214605,0.0579136153287,-0.0895753225804,0.0593230000415,-0.0143001488725,-0.00348827421822,-0.000812328639521,0.0711095118665,0.0885023665852,-0.136105597611,
all_type_video_backward_seek_sum,0.147642684207,0.174913640373,0.0873212725214,-0.0604293970719,-0.0418245745712,-0.0902274692013,0.112309523521,-0.0977026596192,0.0985363486273,-0.114922669754,-0.111202920606,0.0289932533896,0.0216234740189,-0.10685331761,0.16818647686,-0.000197213750546,-0.048120712027,-0.123728936524,-0.0133308874378,-0.0777873432844,-0.0736723433264,-0.0826501642588,0.0663611602244,0.0731022004381,-0.153799456786,
