username,active_num_days,problem_num_days,video_num_days,num_complete,num_incomplete,pause_video_sum,pause_video_avg,stop_video_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,final_score
os14,0.6795068790695158,0.34617354606951584,0.5,1.563944965828311,0.8461735460695159,1.8717259224489136,0.4310222648541076,0.6922190433793978,0.6922190433793978,1.8715978741507588,0.41024656019598177,1.5511047537587954,0.4871597873919635,0.420783191681399,1
os15,2.333333333,1.7764020788567725,1.7764020788567725,7.3578132151003,1.1259610980977066,7.670793764429684,0.6022529420952909,2.1504409799785367,2.1504409799785367,0.38613749071354464,0.3129805493293825,0.2032451374726102,0.38613749071354464,0.718742512677905,1
os16,2.528125960742688,1.6854173074763743,1.9812493595236251,5.0822887847719365,2.0,6.915622117771937,0.8213169610437792,1.6385407062573116,1.7958320520472508,0.9906246797336868,0.6760419872100614,0.17604198721006134,0.6760419872100614,2.391173757602264,2
os17,4.257580698014188,3.310610647951488,2.9621236821661836,4.85604825512362,3.1212135326144423,7.204535221227103,0.9107774473415088,0.21211980070373765,0.21211980070373765,8.136343875261428,2.204542984151996,2.4848386042898043,3.2954492522412915,7.033927907084713,2
os18,3.5055184348856647,2.6122671176963723,2.5860925507630785,6.736203913106081,2.906338600476185,8.762378480679871,0.906151667822358,0.4269947331643067,0.4269947331643067,11.144592928097833,2.5805741158774143,3.988963130869162,4.1012302485655345,7.425821864287762,2
os19,3.854322682212564,2.614817356100329,3.072838659112234,10.207397239287587,1.7901065126224929,11.633310460408133,0.9807327033624346,2.1259360924013166,2.1259360924013166,3.6654185436105875,1.666666667,1.2703652867993416,2.385182643899671,6.792145127681392,2
os20,3.6627186601113184,2.2480259967068434,2.465087464184053,5.0503948007795785,2.930174927670476,7.581359329706843,0.7730884367454233,1.5503948007795787,1.7170614674772098,0.30236880407273514,0.2015792028159464,0.0503948007795788,0.2015792028159464,0.7470288099731195,2
os21,4.469887264185365,3.146591509750093,3.9397745283707297,8.550187893004317,1.2731078613707298,9.353408490249906,0.9008015780829643,2.843370911624953,3.0,6.728985377668287,2.4498121069956835,2.5562533023061884,3.7329575469913667,7.674357085766273,2
os22,3.9443610706841987,2.6110277370174324,3.4443610706841987,10.389172358206835,2.8891223361510687,12.556039126765535,0.9354298315505559,1.6109276882385315,1.6664665691086646,5.777594355238532,1.9443610706841992,2.1110277370174324,3.055438832091232,7.003813574837539,2
os23,3.3313477321909204,2.333333333,3.0548936885067612,8.427235897223436,4.337304536618158,12.378299015449448,0.8674969223432529,1.3353189348090797,1.3353189348090797,3.2665260359681234,1.8902126233158405,1.1626954633818407,2.3313477321909204,5.993598913470386,2
