username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050204,2.5,206.3333334,518.5,2.5,16.83333334,42,2.5,20.08333334,51,0,0,0,7,4.5,0.677777778,3.279496685,4,0.533333334,5.5,0.833333333,2,17,1.933333334,6.5,1.255555556,3.5,0.7,23.5,3.188888889,12.5,36,5.288888889,14.5,2.633333334,2,43,6.288888889,95.5,14.52222222,0,0,0,8.701666667,86,1,90
Y1050205,2.5,212.9166667,592,1.5,13.66666667,41,1.5,19.16666667,57.5,0,0,0,6,6,0.5,7.02412281,2,0.166666667,5,0.416666667,3.5,3,0.25,24,2,4.5,0.375,27,2.25,11,38,3.166666667,31,2.583333334,4,44,3.666666667,117,9.75,1,1,1,9.028333333,77.5,1,88
Y1050206,3,251,792,3,21.375,64.5,3,12.75,43.5,0,0,0,10,5.5,0.541666667,12.08151021,3.5,0.291666667,9.5,0.958333334,0.5,9.5,0.791666667,8,0.729166667,1.5,0.145833334,17.5,1.520833334,8.5,26,2.25,18,1.729166667,0.5,36,3.25,80.5,7.291666665,2,2,2,4.25,95,1,70
Y1050207,1.5,254.5,459.5,1,16,32,1.5,40.75,71,0,0,0,7.5,7,0.833333333,11.14665394,4,0.583333333,7.5,1,0,27,2.5,20,2.541666667,5,0.791666667,47,5.041666666,13,60,7.125,31.5,4.125,0,67.5,8.125,159,19.375,0,0,0,0,90,0,40
Y1050208,3,260,748,1.5,36.5,52.5,2,69.75,139.5,0,0,0,6,4.5,0.833333333,4.489570236,5.5,0.944444445,6,1,0,94.5,19.72222223,21.5,3.388888889,2.5,0.722222222,116,23.11111112,14.5,130.5,26.27777778,30,5.111111111,0,136.5,27.27777778,297,58.66666667,3.5,1.5,3.5,7.166666667,72.5,1,70
Y1050209,4,130.375,521.5,2.5,10.5,27,3.5,13.83333333,50.5,0,0,0,6.5,5,0.733333334,6.527604221,2.5,0.483333334,6.5,1,0.5,1,0.1,27.5,4.966666667,7.5,1.1,28.5,5.066666667,12.5,41,6.9,41.5,7.066666667,0.5,47.5,7.9,130.5,21.91666667,6,3.5,5.5,8.433333333,80,1,85
Y1050210,1.5,166.1666667,498.5,1,27,54,1,8.75,17.5,0,0,0,4,2.5,0.3125,0.585055097,1.5,0.1875,4,0.5,0,2,0.25,2.5,0.3125,1.5,0.1875,4.5,0.5625,2,6.5,0.8125,7.5,0.9375,0,10.5,1.3125,24.5,3.0625,0,0,0,0,62.5,0,20
Y1050211,2.5,417.0833334,1016,2,36,72,2,83,166,0,0,0,11.5,8,0.693181818,14.82178926,9.5,0.825757576,10.5,0.909090909,0.5,63.5,5.5,19.5,1.65530303,7.5,0.643939394,83,7.15530303,47,130,11.24242424,35,2.996212121,0.5,141.5,12.24242425,307,26.52272728,4.5,2,2,3.708333333,50,0,40
Y1050212,3,244,732,2.5,22.5,52,2.5,49.5,117.5,0,0,0,9,7,0.75,12.55934277,6.5,0.708333333,9,1,1,17.5,1.833333334,27,3.458333333,7.5,0.916666667,44.5,5.291666666,54,98.5,12.45833333,42,5.25,1,107.5,13.45833333,249,31.25,0,0,0,0,42.5,0,20
Y1050213,0.5,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
