username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050214,4,265.25,1061,4,20.25,81,4,155,0,0,0,12,12,1,12.10564712,6,0.5,11,0.916666667,26,22,79,6.583333333,9,0.75,105,8.75,31,2.583333333,136,11.33333333,96,8,148,12.33333333,383,31.91666667,2,2,2,1.25,35,20
Y1050215,2,351,702,2,38.5,77,2,40,0,0,0,12,11,0.916666667,1.849352921,3,0.25,11,0.916666667,4,6,10,0.833333333,4,0.333333333,14,1.166666667,10,0.833333333,24,2,24,2,36,3,85,7.083333333,0,0,0,0,95,20
Y1050218,2,413.5,827,2,52,104,2,37,0,0,0,6,4,0.666666667,12.8085386,3,0.5,6,1,6,14,8,1.333333333,2,0.333333333,14,2.333333333,16,2.666666667,30,5,16,2.666666667,36,6,82,13.66666667,0,0,0,0,25,10
Y1050219,5,130.8,654,3,23.66666667,71,3,23,0,0,0,8,3,0.375,12.82977388,7,0.875,5,0.625,5,3,3,0.375,3,0.375,8,1,6,0.75,14,1.75,10,1.25,22,2.75,46,5.75,6,4,6,7.333333333,80,20
Y1050222,3,207.3333333,622,2,40,80,2,12,0,0,0,9,0,0,14.23714755,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,1,18,2,0,0,0,0,97,50
Y1050225,2,48.5,97,1,5,5,2,21,0,0,0,2,1,0.5,7.878818186,2,1,1,0.5,7,6,3,1.5,2,1,10,5,8,4,18,9,6,3,20,10,44,22,5,3,5,9.666666667,80,75
Y1050226,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,100,40
Y1050229,3,405.6666667,1217,3,32,96,3,72,0,0,0,11,9,0.818181818,12.2284777,4,0.363636364,11,1,1,6,41,3.727272727,9,0.818181818,42,3.818181818,15,1.363636364,57,5.181818182,61,5.545454545,68,6.181818182,186,16.90909091,7,4,6,10,100,99
Y1050232,2,291,582,1,15,15,2,94,0,0,0,8,7,0.875,2.685618574,3,0.375,8,1,20,23,31,3.875,5,0.625,51,6.375,29,3.625,80,10,43,5.375,88,11,213,26.625,0,0,0,0,90,10
Y1050233,1,231,231,0,0,0,1,63,0,0,0,3,1,0.333333333,2.579980267,3,1,2,0.666666667,17,31,1,0.333333333,1,0.333333333,18,6,32,10.66666667,50,16.66666667,4,1.333333333,53,17.66666667,107,35.66666667,0,0,0,0,45,10
Y1050235,1,232,232,0,0,0,1,48,0,0,0,6,5,0.833333333,2.686706198,3,0.5,4,0.666666667,25,1,2,0.333333333,0,0,27,4.5,1,0.166666667,28,4.666666667,5,0.833333333,34,5.666666667,69,11.5,4,2,2,0.75,45,10
Y1050236,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,10,4.333333333,95,20
Y1050237,1,76,76,0,0,0,1,6,0,0,0,5,5,1,2.569547622,1,0.2,3,0.6,0,1,0,0,0,0,0,0,1,0.2,1,0.2,3,0.6,6,1.2,12,2.4,0,0,0,0,0,0
Y1050238,1,81,81,0,0,0,1,11,0,0,0,1,1,1,3.374553979,1,1,1,1,3,0,0,0,0,0,3,3,1,1,4,4,1,1,5,5,11,11,35,4,10,6.666666667,95,40
Y1050239,1,32,32,0,0,0,1,2,0,0,0,1,1,1,2.690121454,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0.333333333,40,10
Y1050240,2,189.5,379,0,0,0,2,115,0,0,0,5,1,0.2,2.469423546,5,1,4,0.8,41,18,26,5.2,3,0.6,67,13.4,21,4.2,88,17.6,33,6.6,94,18.8,215,43,11,3,3,2.5,30,10
Y1050241,1,141,141,0,0,0,1,32,0,0,0,3,1,0.333333333,3.290280524,3,1,2,0.666666667,13,1,4,1.333333333,1,0.333333333,17,5.666666667,2,0.666666667,19,6.333333333,6,2,22,7.333333333,47,15.66666667,3,2,2,3.25,83,20
Y1050242,1,185,185,0,0,0,1,64,0,0,0,3,1,0.333333333,2.776968047,3,1,3,1,30,17,7,2.333333333,4,1.333333333,37,12.33333333,21,7,58,19.33333333,13,4.333333333,61,20.33333333,132,44,2,2,2,0,90,20
Y1050243,1,46,46,0,0,0,1,8,0,0,0,2,0,0,3.291902246,0,0,2,1,0,0,5,2.5,0,0,5,2.5,0,0,5,2.5,7,3.5,7,3.5,19,9.5,0,0,0,0,95,10
