username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050211,2,570.7222222,970,1.666666667,45.33333333,69.33333333,1.666666667,119.6666667,175,0,0,0,11.33333333,8.333333333,3,0.734848485,11.71513784,10,0.883838384,10.66666667,0.939393939,0.333333333,65.66666667,5.787878788,41.66666667,24.66666667,2.164141414,7.333333333,0.641414141,0.333333333,90.33333333,7.952020202,49.33333333,4.361111111,139.6666667,12.31313131,40.66666667,3.573232323,0.333333333,151,13.31313131,331.6666667,29.22727273,3,1.333333333,1.333333333,3.583333333,50,40
Y1050212,3,212.7777778,638.3333333,2.333333333,23.33333333,51.33333333,2.333333333,37.33333333,87,0,0,0,7.333333333,5.666666667,1.666666667,0.75,9.524428757,5,0.638888889,7.333333333,1,0.666666667,12,1.305555556,31.66666667,22,3.305555555,6,0.861111111,0.333333333,34,4.611111111,38,5.277777779,72,9.888888889,34.33333333,5.083333333,0.666666667,79.33333333,10.88888889,186.3333333,25.91666667,0,0,0,0,42.5,20
Y1050213,0.666666667,25.33333333,25.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Y1050214,3.666666667,146.25,598.3333333,2.666666667,8.083333333,30.33333333,3.666666667,25.78333333,112,0,0,0,8,7,1,0.606060606,13.0931645,5,0.439393939,7.666666667,0.972222222,2,17,1.47979798,24.33333333,51.33333333,5.982323232,6,1.128787879,0.333333333,68.33333333,7.462121212,30.66666667,3.315656566,99,10.77777778,62.66666667,7.878787879,2,107,11.77777778,270.6666667,30.60858586,1,1,1,0.527777778,32.5,20
Y1050215,3,244.6333333,650.6666667,2,36.38888889,68.33333333,2.333333333,21.91666667,42.33333333,0,0,0,12.33333333,11,1.333333333,0.913398693,8.28981537,2.666666667,0.203431373,11.66666667,0.952614379,2,3.666666667,0.358660131,4.666666667,10.66666667,0.885620915,5,0.41503268,0.333333333,14.33333333,1.244281046,10,0.758169935,24.33333333,2.00245098,26,2.144607843,2,36.66666667,3.00245098,89,7.297385621,0,0,0,0,60,20
Y1050216,1.333333333,53.55555557,132.6666667,0.333333333,4,4,0.333333333,7.333333333,7.333333333,0,0,0,1.333333333,0,1.333333333,0,4.508520367,1.333333333,0.333333333,0.333333333,0.083333333,0,1.333333333,0.333333333,1.333333333,1.666666667,0.416666667,0.333333333,0.083333333,0,3,0.75,1.666666667,0.416666667,4.666666667,1.166666667,2,0.5,0,6,1.5,12.66666667,3.166666667,0,0,0,0,10,10
Y1050218,0.666666667,137.8333333,275.6666667,0.666666667,17.33333333,34.66666667,0.666666667,6.166666667,12.33333333,0,0,0,2,1.333333333,0.666666667,0.222222222,4.269512867,1,0.166666667,2,0.333333333,0,2,0.333333333,4.666666667,2.666666667,0.444444444,0.666666667,0.111111111,0,4.666666667,0.777777778,5.333333333,0.888888889,10,1.666666667,5.333333333,0.888888889,0,12,2,27.33333333,4.555555557,0,0,0,0,12.5,10
Y1050219,3,145.1,421,1.666666667,21.05555556,50,2,7.555555556,17.33333333,0,0,0,5.666666667,1,4.666666667,0.125,13.69876318,5,0.625,3,0.666666667,0,5,0.625,1,4,0.5,1.333333333,0.166666667,0,9,1.125,2.333333333,0.291666667,11.33333333,1.416666667,7.333333333,1.208333333,0,17,2.416666667,35.66666667,5.041666667,2,1.333333333,2,2.444444444,75,20
Y1050220,2,240.5,717,1.333333333,12.77777778,15.66666667,2,46.5,146.6666667,0,0,0,10,9.666666667,0.333333333,0.649122807,0.992477246,8.666666667,0.558213716,10,0.666666667,2,13.66666667,0.821371611,33.33333333,49,3.089314194,15,0.980861244,0.666666667,62.66666667,3.910685806,49,3.165869219,111.6666667,7.076555025,72,4.593301435,2,121.6666667,7.743221692,307.3333333,19.56937799,0,0,0,0,50,30
Y1050221,2.666666667,115.5833333,462.3333333,1.333333333,29.66666667,59.33333333,1.333333333,2,5.333333333,0,0,0,1.666666667,0,1.666666667,0,4.262031432,0.666666667,0.166666667,1.333333333,0.583333333,0,1.666666667,0.416666667,0.333333333,0.333333333,0.083333333,0.333333333,0.083333333,0,2,0.5,0.666666667,0.166666667,2.666666667,0.666666667,2,0.75,0,4.333333333,1.333333333,9,2.75,2.666666667,2,2.666666667,7.444444444,78.5,80
Y1050222,2.666666667,137.5,406.3333333,2,22.33333333,52.33333333,2,3.666666667,8.333333333,0,0,0,5,0.333333333,4.666666667,0.066666667,9.333232668,0.333333333,0.066666667,5,1,0,1,0.2,0,1,0.2,0.333333333,0.066666667,0,2,0.4,0.333333333,0.066666667,2.333333333,0.466666667,6.333333333,1.266666667,0,7.333333333,1.466666667,16,3.2,0,0,0,0,76,50
Y1050223,1.666666667,247.5,647,1.333333333,27.22222222,49.66666667,1.333333333,29.44444444,57,0,0,0,6.333333333,3,3.333333333,0.306818182,9.56208641,6,0.625,5.333333333,0.541666667,0.333333333,11,1.170454545,5.666666667,25.33333333,2.53030303,3,0.284090909,0,36.33333333,3.700757576,8.666666667,0.799242424,45,4.5,31.33333333,3.132575758,0.333333333,51.33333333,5.166666667,128,12.84090909,1,1,1,0.444444444,32.5,20
Y1050224,2,160.5833333,474,1.666666667,16.75,34,2,21.25,65.66666667,0,0,0,7,5.666666667,1.333333333,0.532051282,3.319976868,3.666666667,0.314102564,7,0.666666667,1.333333333,13,1.112179487,11.33333333,16.66666667,1.602564103,7.666666667,0.669871795,0.333333333,29.66666667,2.71474359,19.33333333,1.727564103,49,4.442307692,29.33333333,2.769230769,1.333333333,56.33333333,5.150641026,136,12.48076923,2,1.333333333,1.333333333,4.666666667,87.5,68
Y1050225,4.666666667,153,853.3333333,3.666666667,14.97222222,67.33333333,4.333333333,21.74444444,106.6666667,0,0,0,10.66666667,9.333333333,1.333333333,0.768518519,6.74945551,6,0.675925926,10.33333333,0.833333333,2,25.66666667,2.712962963,21.66666667,25.33333333,2.259259259,8.666666667,0.888888889,1.666666667,51,4.972222222,32,3.361111111,83,8.333333333,43.33333333,3.907407407,2.333333333,93.66666667,9.333333333,222.3333333,21.73148148,3,2.333333333,3,8.672222222,80,75
Y1050226,1.666666667,172.3333333,342.6666667,0,0,0,1.333333333,27.83333333,55.66666667,0,0,0,11.66666667,7.333333333,4.333333333,0.403133903,0.578512641,4.333333333,0.215099715,9.666666667,0.517094017,2.666666667,5.666666667,0.242165242,5.333333333,10,0.505698006,10,0.52991453,0,15.66666667,0.747863248,15.33333333,0.88034188,31,1.628205128,27.66666667,1.475783476,2.666666667,42.66666667,2.294871795,104,5.574074074,0.666666667,0.666666667,0.666666667,0,90,40
Y1050227,1.333333333,131.8333333,263.6666667,1,10.33333333,19.66666667,1,15.16666667,21,0,0,0,3.666666667,0.666666667,3,0.166666667,6.586608894,2.666666667,0.523809524,3.333333333,0.619047619,0,2,0.357142857,2,10,1.928571429,1,0.214285714,0,12,2.285714286,3,0.642857143,15,2.928571429,13.66666667,2.630952381,0,18.66666667,3.595238095,47.33333333,9.154761903,0.666666667,0.666666667,0.666666667,0,42.5,10
Y1050228,3,210.1666667,920.3333333,2.333333333,23.22222222,61,3,26.83333333,111.6666667,1.333333333,0.777777778,1.666666667,12.33333333,7.666666667,4.666666667,0.412280702,5.562671311,4.666666667,0.251461988,12,0.648148148,1.666666667,17.33333333,0.93079922,6.333333333,56.66666667,3.062378168,12.33333333,0.661793372,0.666666667,74,3.993177388,19.33333333,1.039961014,93.33333333,5.033138402,80,4.317738791,1.666666667,105.6666667,5.699805068,280.6666667,15.14230019,1.333333333,1.333333333,1.333333333,5.777777778,81,66
