username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_complete,complete_rate,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050238,0.666666667,405.3333333,0.5,63.16666667,0.5,0.166666667,0.166666667,0.4166666670000001,6.5,1.333333333,4.166666667,2.333333333,2.411764706,68.16666667,1
Y1050239,0.166666667,5.333333333,0.0,0.0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.166666667,0.333333333,0.05882352900000001,6.666666667,0
Y1050240,0.666666667,122.5,0.166666667,4.666666667,0.666666667,1.333333333,0.291666667,0.358333333,1.833333333,0.5,1.5,0.5,0.441176471,5.0,0
Y1050241,1.333333333,475.5,0.666666667,19.5,1.333333333,3.833333333,0.53505291,0.856150794,0.5,0.333333333,0.666666667,0.333333333,0.5735294120000001,30.5,0
Y1050242,0.666666667,140.0,0.333333333,1.0,0.666666667,1.833333333,0.287878788,0.429292929,0.333333333,0.333333333,0.166666667,0.333333333,0.0,28.33333333,0
Y1050243,0.5,66.5,0.0,0.0,0.5,2.5,0.291666667,0.363425926,0.0,0.0,0.0,0.0,0.0,15.83333333,0
Y1050244,0.5,81.83333333,0.166666667,1.166666667,0.5,1.666666667,0.322222222,0.3722222220000001,0.0,0.0,0.0,0.0,0.0,14.16666667,0
Y1050245,0.5,160.83333330000005,0.5,18.5,0.5,1.333333333,0.291666667,0.466666667,0.0,0.0,0.0,0.0,0.0,10.83333333,0
Y1050246,0.5,47.0,0.333333333,5.333333333,0.333333333,0.333333333,0.25,0.333333333,3.5,1.5,2.5,2.166666667,3.342941176,20.83333333,1
Y1050247,0.666666667,70.0,0.333333333,3.833333333,0.666666667,0.333333333,0.13888888900000002,0.5,3.666666667,1.5,0.5,2.333333333,3.529411765,31.16666667,1
Y1050248,0.5,96.66666667,0.333333333,10.16666667,0.5,1.666666667,0.395238095,0.35952381,1.333333333,0.833333333,1.0,0.833333333,1.6764705880000002,34.16666667,1
Y1050249,0.5,93.66666667,0.166666667,4.166666667,0.5,3.0,0.406084656,0.350529101,3.666666667,0.5,3.166666667,0.666666667,0.705882353,38.83333333,1
Y1050250,0.333333333,37.5,0.0,0.0,0.333333333,2.5,0.291666667,0.180555556,1.666666667,0.5,3.333333333,0.5,0.735294118,0.0,0
Y1050251,0.333333333,57.33333333,0.0,0.0,0.333333333,3.333333333,0.333333333,0.186868687,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050252,0.5,180.3333333,0.5,18.5,0.5,2.666666667,0.333333333,0.335978836,0.0,0.0,0.0,0.0,0.0,8.833333332999999,0
Y1050253,0.833333333,246.3333333,0.5,20.0,0.833333333,0.833333333,0.107407407,0.5,0.833333333,0.5,0.166666667,0.833333333,0.235294118,15.83333333,0
Y1050254,0.5,281.6666667,0.333333333,37.16666667,0.5,0.666666667,0.208333333,0.375,1.666666667,0.666666667,3.333333333,1.0,1.470588235,25.5,0
Y1050255,2.0,408.8333333,1.0,43.5,1.666666667,3.666666667,0.552380952,0.626190476,3.833333333,1.666666667,1.166666667,2.333333333,3.098235294,56.5,1
Y1050256,0.5,360.6666667,0.333333333,47.66666667,0.5,0.166666667,0.166666667,0.333333333,1.666666667,1.0,0.833333333,1.0,0.661764706,41.5,1
Y1050257,0.833333333,129.1666667,0.5,10.66666667,0.5,0.333333333,0.125,0.5,0.333333333,0.333333333,0.166666667,0.333333333,0.176470588,65.0,1
