username,mt_mean,week
104602515,8.527333333,1
104602515,8.527333333,6
104602515,8.527333333,9
104602515,8.527333333,11
104602515,8.527333333,12
104602515,8.527333333,14
104602515,8.527333333,16
104602515,8.527333333,17
104602515,8.527333333,18
104602012,8.541190476,7
104602505,8.541666667,15
104602519,8.583333333,10
104602009,8.611111111,10
104602513,8.617142857,7
104602018,8.666666667,5
104602524,8.666666667,5
104602005,8.7,4
104602502,8.7,15
104602012,8.722222222,2
104602513,8.730769231,3
104602003,8.75,8
104602006,8.75,8
104602011,8.75,8
104602012,8.75,4
104602007,8.777777778,2
104602020,8.78,3
104602008,8.791666667,8
104602522,8.822222222,2
104602010,8.825,8
104602005,8.833333333,2
104602507,8.833333333,2
104602519,8.833333333,3
104602516,8.851851852,2
104602510,8.875,4
104602513,8.875,8
104602513,8.879194139,1
104602513,8.879194139,6
104602513,8.879194139,9
104602513,8.879194139,11
104602513,8.879194139,12
104602513,8.879194139,14
104602513,8.879194139,16
104602513,8.879194139,17
104602513,8.879194139,18
104602018,8.888888889,2
104602015,8.888888889,1
104602015,8.888888889,6
104602015,8.888888889,9
104602015,8.888888889,11
104602015,8.888888889,12
104602015,8.888888889,14
104602015,8.888888889,16
104602015,8.888888889,17
104602015,8.888888889,18
104602510,8.9,2
104602002,9,5
104602004,9,5
104602006,9,5
104602007,9,5
104602007,9,10
104602019,9,5
104602022,9,4
104602024,9,5
104602033,9,8
104602501,9,2
104602504,9,5
104602510,9,5
104602522,9,5
104602517,9,1
104602517,9,6
104602517,9,9
104602517,9,11
104602517,9,12
104602517,9,14
104602517,9,16
104602517,9,17
104602517,9,18
104602526,9.041666667,15
104602008,9.083333333,4
104602013,9.083333333,3
104602028,9.083333333,4
104602511,9.166666667,8
104602521,9.166666667,4
104602524,9.166666667,4
104602506,9.2,5
104602516,9.2,8
104602513,9.222222222,13
104602004,9.25,4
104602009,9.25,8
104602504,9.25,4
104602513,9.25,4
104602023,9.277777778,2
104602013,9.333333333,5
104602037,9.333333333,8
104602502,9.333333333,4
104602513,9.333333333,5
104602526,9.333333333,2
104602013,9.5,2
104602022,9.5,5
104602023,9.5,4
104602027,9.5,5
104602514,9.5,5
104602519,9.5,8
104602521,9.5,8
104602524,9.5,8
104602526,9.5,4
104602009,9.555555556,2
104602511,9.555555556,2
104602521,9.583333333,2
104602022,9.611111111,2
104602513,9.666666667,2
104602004,9.75,8
104602013,9.75,8
104602504,9.75,8
104602519,9.75,4
104602030,9.777777778,2
104602515,9.777777778,2
104602010,9.833333333,2
104602011,9.833333333,2
104602021,9.833333333,2
104602010,10,5
104602011,10,5
104602012,10,5
104602020,10,5
104602028,10,2
104602030,10,5
104602502,10,5
104602507,10,5
104602514,10,2
104602519,10,5
104602521,10,5
104602032,10,1
104602032,10,6
104602032,10,9
104602032,10,11
104602032,10,12
104602032,10,14
104602032,10,16
104602032,10,17
104602032,10,18
