username,exam_first_week,exam_secondt_week,exam_third_week,exam_fourth_week,exam_fifth_week,exam_final,,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,2る6ら,exam_mean,exam_mean,3る6ら,exam_mean,4る6ら,5る6ら,exam_sum
Y1050242,90,0,80,0,0,0,,90,45,56.66666667,42.5,34,28.33333333,40,26.66666667,20,16,40,26.66666667,20,0,0,0,170
Y1050243,95,0,0,0,0,0,,95,47.5,31.66666667,23.75,19,15.83333333,0,0,0,0,0,0,0,0,0,0,95
Y1050244,85,0,0,0,0,0,,85,42.5,28.33333333,21.25,17,14.16666667,0,0,0,0,0,0,0,0,0,0,85
Y1050245,65,0,0,0,0,0,,65,32.5,21.66666667,16.25,13,10.83333333,0,0,0,0,0,0,0,0,0,0,65
Y1050246,55,20,50,0,0,0,,55,37.5,41.66666667,31.25,25,20.83333333,35,23.33333333,17.5,14,25,16.66666667,12.5,0,0,0,125
Y1050247,100,45,30,12,0,0,,100,72.5,58.33333333,46.75,37.4,31.16666667,37.5,29,21.75,17.4,21,14,10.5,6,4,0,187
Y1050248,90,75,40,0,0,0,,90,82.5,68.33333333,51.25,41,34.16666667,57.5,38.33333333,28.75,23,20,13.33333333,10,0,0,0,205
Y1050249,88,85,60,0,0,0,,88,86.5,77.66666667,58.25,46.6,38.83333333,72.5,48.33333333,36.25,29,30,20,15,0,0,0,233
Y1050250,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050251,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050252,53,0,0,0,0,0,,53,26.5,17.66666667,13.25,10.6,8.833333333,0,0,0,0,0,0,0,0,0,0,53
Y1050253,55,40,0,0,0,0,,55,47.5,31.66666667,23.75,19,15.83333333,20,13.33333333,10,8,0,0,0,0,0,0,95
Y1050254,83,70,0,0,0,0,,83,76.5,51,38.25,30.6,25.5,35,23.33333333,17.5,14,0,0,0,0,0,0,153
Y1050255,95,100,60,84,0,0,,95,97.5,85,84.75,67.8,56.5,80,81.33333333,61,48.8,72,48,36,42,28,0,339
Y1050256,85,50,60,54,0,0,,85,67.5,65,62.25,49.8,41.5,55,54.66666667,41,32.8,57,38,28.5,27,18,0,249
Y1050257,65,50,100,95,80,0,,65,57.5,71.66666667,77.5,78,65,75,81.66666667,81.25,65,97.5,91.66666667,68.75,87.5,58.33333333,40,390
Y1050258,65,0,0,0,0,0,,65,32.5,21.66666667,16.25,13,10.83333333,0,0,0,0,0,0,0,0,0,0,65
Y1050259,85,100,95,100,80,75,,85,92.5,93.33333333,95,92,89.16666667,97.5,98.33333333,93.75,90,97.5,91.66666667,87.5,90,85,77.5,460
Y1050260,90,80,50,36,100,55,,90,85,73.33333333,64,71.2,68.5,65,55.33333333,66.5,64.2,43,62,60.25,68,63.66666667,77.5,356
Y1050261,90,100,55,52,100,96,,90,95,81.66666667,74.25,79.4,82.16666667,77.5,69,76.75,80.6,53.5,69,75.75,76,82.66666667,98,397
Y1050262,100,85,75,100,100,0,,100,92.5,86.66666667,90,92,76.66666667,80,86.66666667,90,72,87.5,91.66666667,68.75,100,66.66666667,50,460
Y1050263,90,70,70,100,0,15,,90,80,76.66666667,82.5,66,57.5,70,80,60,51,85,56.66666667,46.25,50,38.33333333,7.5,330
Y1050264,100,85,80,76,90,0,,100,92.5,88.33333333,85.25,86.2,71.83333333,82.5,80.33333333,82.75,66.2,78,82,61.5,83,55.33333333,45,431
Y1050265,100,60,80,0,0,0,,100,80,80,60,48,40,70,46.66666667,35,28,40,26.66666667,20,0,0,0,240
Y1050266,100,80,80,76,100,0,,100,90,86.66666667,84,87.2,72.66666667,80,78.66666667,84,67.2,78,85.33333333,64,88,58.66666667,50,436
Y1050267,90,70,95,52,0,0,,90,80,85,76.75,61.4,51.16666667,82.5,72.33333333,54.25,43.4,73.5,49,36.75,26,17.33333333,0,307
Y1050268,100,95,50,84,95,75,,100,97.5,81.66666667,82.25,84.8,83.16666667,72.5,76.33333333,81,79.8,67,76.33333333,76,89.5,84.66666667,85,424
Y1050269,0,50,0,0,0,0,,0,25,16.66666667,12.5,10,8.333333333,25,16.66666667,12.5,10,0,0,0,0,0,0,50
Y1050270,97,100,90,0,0,0,,97,98.5,95.66666667,71.75,57.4,47.83333333,95,63.33333333,47.5,38,45,30,22.5,0,0,0,287
Y1050271,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050272,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050273,0,80,0,89,45,0,,0,40,26.66666667,42.25,42.8,35.66666667,40,56.33333333,53.5,42.8,44.5,44.66666667,33.5,67,44.66666667,22.5,214
Y9999986,75,95,55,38,80,95,,75,85,75,65.75,68.6,73,75,62.66666667,67,72.6,46.5,57.66666667,67,59,71,87.5,343
Y9999987,0,0,20,78,95,40,,0,0,6.666666667,24.5,38.6,38.83333333,10,32.66666667,48.25,46.6,49,64.33333333,58.25,86.5,71,67.5,193
Y9999988,45,90,40,43,20,45,,45,67.5,58.33333333,54.5,47.6,47.16666667,65,57.66666667,48.25,47.6,41.5,34.33333333,37,31.5,36,32.5,238
Y9999989,90,100,55,78,60,95,,90,95,81.66666667,80.75,76.6,79.66666667,77.5,77.66666667,73.25,77.6,66.5,64.33333333,72,69,77.66666667,77.5,383
Y9999990,97,75,95,88,90,90,,97,86,89,88.75,89,89.16666667,85,86,87,87.6,91.5,91,90.75,89,89.33333333,90,445
Y9999991,55,85,60,68,70,30,,55,70,66.66666667,67,67.6,61.33333333,72.5,71,70.75,62.6,64,66,57,69,56,50,338
Y9999992,90,75,65,33,0,58,,90,82.5,76.66666667,65.75,52.6,53.5,70,57.66666667,43.25,46.2,49,32.66666667,39,16.5,30.33333333,29,263
Y9999993,25,95,80,83,95,63,,25,60,66.66666667,70.75,75.6,73.5,87.5,86,88.25,83.2,81.5,86,80.25,89,80.33333333,79,378
Y9999994,35,25,10,10,80,25,,35,30,23.33333333,20,32,30.83333333,17.5,15,31.25,30,10,33.33333333,31.25,45,38.33333333,52.5,160
Y9999995,97,60,75,72,90,85,,97,78.5,77.33333333,76,78.8,79.83333333,67.5,69,74.25,76.4,73.5,79,80.5,81,82.33333333,87.5,394
Y9999996,65,90,60,94,80,75,,65,77.5,71.66666667,77.25,77.8,77.33333333,75,81.33333333,81,79.8,77,78,77.25,87,83,77.5,389
Y9999997,78,80,75,90,100,80,,78,79,77.66666667,80.75,84.6,83.83333333,77.5,81.66666667,86.25,85,82.5,88.33333333,86.25,95,90,90,423
Y9999998,75,70,15,74,75,80,,75,72.5,53.33333333,58.5,61.8,64.83333333,42.5,53,58.5,62.8,44.5,54.66666667,61,74.5,76.33333333,77.5,309
Y9999999,95,100,100,100,100,110,,95,97.5,98.33333333,98.75,99,100.8333333,100,100,100,102,100,100,102.5,100,103.3333333,105,495
