username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_watched,num_incomplete,complete_rate,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050223,1.333333333,489.1666667,1.166666667,38.5,1.166666667,5.0,2.166666667,0.274621212,4.5,0.4375,0.5,0.5,0.5,0.235294118,24.66666667,0
Y1050224,2.5,453.33333330000005,1.666666667,33.33333333,2.0,7.166666667,2.0,0.492216117,7.0,0.8214285720000001,1.0,0.666666667,0.666666667,2.470588235,86.16666667,2
Y1050225,4.5,819.3333332999998,3.166666667,67.0,4.0,9.833333332999999,1.333333333,0.7675925929999999,9.333333332999999,0.894444445,7.0,2.5,3.833333333,7.723529412,71.33333333,2
Y1050226,1.333333333,687.1666667000002,0.333333333,74.16666667,1.0,9.333333332999999,3.5,0.396011396,7.333333333,0.5085470089999999,0.333333333,0.333333333,0.333333333,0.0,60.83333333,1
Y1050227,1.166666667,168.5,0.666666667,10.0,0.833333333,2.666666667,1.666666667,0.216666667,2.5,0.476190476,0.333333333,0.333333333,0.333333333,0.0,18.0,0
Y1050228,3.166666667,972.8333332999997,2.333333333,67.0,3.0,11.66666667,4.666666667,0.562349501,11.5,0.8240740740000001,2.333333333,2.0,2.166666667,5.674117647,66.33333333,2
Y1050229,5.0,988.1666667000003,3.0,72.83333333,3.166666667,10.83333333,0.833333333,0.76043771,10.83333333,0.833333333,9.333333332999999,3.0,5.0,9.980588235,100.0,3
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050231,0.333333333,52.83333333,0.0,0.0,0.333333333,3.666666667,0.0,0.333333333,2.333333333,0.216666667,1.0,0.333333333,0.333333333,0.352941176,6.666666667,0
Y1050232,1.166666667,262.8333333,0.833333333,9.0,1.0,2.833333333,0.5,0.5625,2.833333333,0.666666667,0.0,0.0,0.0,0.0,15.0,0
Y1050233,0.5,81.83333333,0.166666667,2.0,0.5,1.666666667,0.833333333,0.236111111,1.5,0.444444445,0.0,0.0,0.0,0.0,7.5,0
Y1050234,0.166666667,27.16666667,0.0,0.0,0.166666667,1.5,0.0,0.166666667,1.166666667,0.12962963,1.666666667,0.333333333,0.333333333,0.352941176,5.833333333,0
Y1050235,0.5,65.0,0.0,0.0,0.5,2.166666667,0.5,0.305555556,1.333333333,0.344444445,0.666666667,0.333333333,0.333333333,0.132352941,7.5,0
Y1050236,0.333333333,195.8333333,0.166666667,31.5,0.166666667,0.333333333,0.166666667,0.083333333,0.333333333,0.166666667,5.5,1.333333333,2.333333333,1.058823529,15.83333333,0
Y1050237,0.166666667,12.66666667,0.0,0.0,0.166666667,0.833333333,0.0,0.166666667,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0
Y1050238,0.666666667,405.3333333,0.5,63.16666667,0.5,0.833333333,0.666666667,0.166666667,0.666666667,0.4166666670000001,6.5,1.333333333,2.333333333,2.411764706,68.16666667,1
Y1050239,0.166666667,5.333333333,0.0,0.0,0.166666667,0.166666667,0.0,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.05882352900000001,6.666666667,0
Y1050240,0.666666667,122.5,0.166666667,4.666666667,0.666666667,2.333333333,1.0,0.291666667,1.666666667,0.358333333,1.833333333,0.5,0.5,0.441176471,5.0,0
