evaluation_num,kfold_split_num,username,video_backward_seek_avg,video_stop_backward_seek_avg,watched_time_hour,qz_mean,video_pause_backward_seek_avg,watched_time_weekday,label_val_predict,label_val_test
1,5,Y1050169,-0.647249476904,-0.535506510819,-0.137003744645,-1.05127130782,-0.693650114862,-0.402181022199,11.2382207264,0.0
1,5,Y1050179,0.416625685273,2.53960116463,2.25516604123,1.92561553253,1.17242281106,-0.146065744381,86.7533055595,95.0
1,5,Y1050197,3.7648152826,3.66191261892,2.32115647003,1.46419807227,1.96062575781,0.366164811256,81.7332796634,80.0
1,5,Y1050198,2.10904380626,2.87385200011,1.00273638302,-0.277280729328,-0.693650114862,-0.146065744381,23.9966048968,20.0
1,5,Y1050214,1.51268216853,0.084376855424,0.576997853992,-0.545200544959,0.00517322650567,-0.658296300018,22.2587102458,20.0
1,5,Y1050216,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,11.5332615782,10.0
1,5,Y1050223,0.0543524495936,0.704260221667,0.87778196395,-0.433567288446,0.231263131132,0.366164811256,23.0844180109,20.0
1,5,Y1050226,-0.17373242568,-0.535506510819,-0.752203532319,0.325538855842,-0.00233675268176,1.64674120035,38.9881860558,40.0
1,5,Y1050228,1.24716881665,0.721276630019,1.18533070381,0.705091927985,1.10865274209,0.878395366893,67.9335240436,66.0
1,5,Y1050230,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,11.5332615782,0.0
1,5,Y1050262,-0.578342144825,-0.535506510819,0.0325044736501,0.995338394919,-0.128425353295,1.90285647817,50.1113816412,50.0
1,5,Y1050265,-0.509434812746,2.87385200011,-0.803087647673,-0.455893939749,-0.693650114862,-0.146065744381,19.8496409189,20.0
