username,forum_num_days,forum_avg_count,forum_sum_count,video_forward_seek_sum,watched_time_hour,qz_mean,watched_time_weekday,video_pause_backward_seek_avg,indicator,final_score
Y1050203,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050204,-0.126303309306,-0.0130041582973,0.492408324286,-0.768613955231,-1.20662848907,-0.442800693651,0.0034639299253,-0.0164578495794,1.0,90.0
Y1050205,0.198670563298,2.59826216645,-1.35327973515,-0.16731687446,-0.528585233053,-0.0649193009466,0.0281730662286,-0.00769733996117,1.0,88.0
Y1050206,-0.164594137754,0.100848322394,0.10989128717,-0.34085061192,-0.938002981698,-0.326449857718,0.00728375297392,-0.011469798506,1.0,70.0
Y1050207,-0.123084108686,1.10113624536,-0.648859782482,0.829110198524,-0.586948673287,-0.492358648194,0.0106059119865,-0.002919222634,0.0,40.0
Y1050208,-0.157401445151,0.488457705443,2.08517002453,1.50750638778,-0.294254129911,0.369790062319,-0.0408031835852,-0.00529663695423,1.0,70.0
Y1050209,-0.0783778473908,0.312464516042,0.712795232,-0.898662228052,-0.716204348993,-0.413079205844,-0.0117194632216,-0.015367339601,1.0,85.0
Y1050210,-0.41597867678,-0.749716196209,-0.412418188174,0.186092766402,0.0780603268203,0.485236163436,0.0112175218812,0.00158111084599,0.0,20.0
Y1050211,-0.186881356893,1.26285773177,0.304842227434,1.07841549125,0.804927950841,-1.42726115082,-0.0534204010535,0.0029010370437,0.0,40.0
Y1050212,-0.508284375675,-1.24016371917,0.165312568857,-0.219913000256,0.734539515101,0.0157911916607,-0.0203954453566,0.00238233350179,0.0,20.0
Y1050213,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050214,-0.0865234493235,0.910978798403,0.145592605422,-0.0321575878689,0.638852689776,1.23233324474,-0.00518506750654,-0.000592896115555,0.0,20.0
Y1050215,-0.302420733647,-0.480436122109,-0.113346057211,-0.308208679398,-0.0975943129839,0.694982469642,0.0112607202004,-0.00338610464104,0.0,20.0
Y1050216,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
