username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050223,0.25,2.0,733.75,1.75,7.5,4.25,6.5,6.75,0.75,69.0,11.25,7.0,38.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0,20.0
Y1050224,0.25,3.5,652.0,2.75,10.5,7.75,5.25,10.25,2.5,85.75,12.25,14.5,40.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75,1.416666667,0,68.0
Y1050225,0.0,5.5,1126.75,5.0,13.75,12.25,9.25,13.25,4.25,128.0,26.75,28.25,50.5,4.5,5.0,2.5,1.0,1.5,2.5,3.5,1.0,72.0,6.941666667,1,75.0
Y1050226,0.25,1.25,281.25,1.25,10.25,6.25,3.5,8.5,2.0,45.75,4.25,4.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,0,40.0
Y1050227,0.25,1.5,236.5,1.25,4.0,1.5,2.75,3.75,0.0,22.0,1.5,2.25,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0,10.0
Y1050228,0.0,4.25,1439.75,4.25,17.25,10.25,8.0,17.0,2.25,174.5,31.75,17.75,112.25,2.25,1.5,1.5,0.0,1.5,0.5,1.5,0.0,62.75,5.496666667,0,66.0
Y1050229,0.0,5.5,1136.0,4.0,13.5,12.75,6.0,13.5,1.0,104.5,5.5,11.5,80.5,1.0,11.0,3.0,1.5,1.5,2.25,5.5,2.75,96.25,9.9725,1,99.0
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050231,0.25,0.5,79.25,0.5,5.5,5.5,0.0,3.5,2.0,7.25,0.0,0.0,3.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050232,0.25,1.0,221.5,0.75,2.0,1.5,1.5,2.0,0.25,39.75,6.5,5.25,17.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050233,0.25,0.5,65.0,0.5,1.75,1.0,0.25,1.75,0.0,5.75,0.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050234,0.25,0.25,40.75,0.25,2.25,2.25,0.0,1.75,0.5,3.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050235,0.25,0.5,39.5,0.5,1.75,1.25,0.25,1.0,0.75,4.25,0.0,0.0,2.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050236,0.25,0.25,292.25,0.25,0.5,0.25,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,4.25,1.0,1.0,0.0,4.5,1.0,0.75,0.0,0.416666667,1,20.0
Y1050237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050238,0.25,0.75,587.75,0.5,1.0,0.0,0.5,0.75,0.0,5.25,0.0,0.5,1.25,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,78.5,1.75,0,40.0
Y1050239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050240,0.25,0.5,89.0,0.5,2.25,1.75,0.25,1.5,1.0,7.0,0.0,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050241,0.0,1.5,594.75,1.5,6.75,4.25,4.25,6.25,0.5,112.5,16.5,9.25,20.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0,20.0
Y1050242,0.25,0.75,163.75,0.75,3.5,2.5,2.0,3.0,1.5,42.75,14.75,8.25,11.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,20.0
Y1050243,0.25,0.5,88.25,0.5,4.25,3.75,0.5,2.5,2.25,11.75,0.0,0.25,6.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050244,0.25,0.5,89.5,0.5,2.5,2.0,1.0,1.75,1.5,13.0,0.0,1.5,7.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050245,0.25,0.5,213.75,0.5,2.25,1.5,0.5,2.0,0.25,5.75,0.25,1.0,2.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050246,0.25,0.5,66.75,0.5,0.75,0.5,0.25,0.75,0.0,4.25,1.0,0.5,1.25,0.0,3.25,1.25,1.25,0.0,3.5,1.75,1.0,17.5,2.7775,1,30.0
Y1050247,0.25,0.75,86.5,0.75,1.0,0.25,0.25,1.0,0.0,12.0,0.5,3.75,5.25,0.0,2.0,1.25,1.25,0.0,0.5,1.5,0.5,21.75,3.166666667,0,30.0
Y1050248,0.25,0.5,113.5,0.5,2.25,1.5,0.5,1.75,0.5,5.75,0.0,0.5,1.75,0.5,0.25,0.25,0.25,0.0,0.25,0.25,0.0,28.75,0.5,0,30.0
Y1050249,0.25,0.5,105.0,0.5,4.0,3.25,0.0,2.5,1.5,6.25,0.0,0.0,3.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,0.0,0,30.0
Y1050250,0.25,0.25,39.25,0.25,3.0,3.0,0.0,1.75,1.25,3.5,0.0,0.0,1.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050251,0.25,0.5,86.0,0.5,5.0,5.0,0.0,2.75,2.5,7.5,0.0,0.0,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050252,0.25,0.5,216.75,0.5,2.5,1.75,0.75,1.5,0.75,8.5,0.0,1.75,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050253,0.25,0.5,241.75,0.5,1.5,0.25,0.25,1.5,0.0,13.75,0.0,0.5,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,10.0
Y1050254,0.25,0.5,375.25,0.5,1.5,0.5,1.0,1.25,0.25,6.75,1.0,0.25,3.5,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,17.5,0.0,0,20.0
Y1050255,0.25,2.25,577.0,2.25,5.25,4.25,3.0,5.0,0.75,39.25,14.25,7.75,12.5,0.75,3.0,1.5,1.5,0.0,1.0,2.0,1.0,61.0,2.805833333,1,40.0
