username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,indicator,final_score
Y1050193,4.5,148.75,703.0,2.0,29.75,59.5,4.0,14.0,55.0,0.0,0.0,0.0,8.5,5.5,0.633333334,9.395259179,4.5,0.49166666600000003,8.5,1.0,0.5,7.5,0.625,21.0,2.566666667,9.5,1.2,28.5,3.191666667,15.5,44.0,4.95,38.0,4.625,0.5,52.5,5.95,135.0,15.56666667,1.0,1.0,1.0,0.166666667,62.5,0,0,20
Y1050194,4.0,251.0,824.0,3.0,20.5,61.0,3.0,41.75,108.0,0.0,0.0,0.0,8.5,6.5,0.742424243,15.26352092,6.5,0.78030303,8.5,1.0,0.5,12.5,1.628787879,27.5,3.787878788,13.5,1.606060606,40.0,5.416666666,52.5,92.5,12.23484848,49.0,6.348484849,0.5,101.0,13.23484848,243.0,31.86363637,1.5,1.5,1.5,2.666666667,52.5,0,0,20
Y1050195,5.5,317.4166667,1763.0,4.5,23.58333334,100.0,4.5,40.41666667,180.0,0.0,0.0,0.0,11.0,9.5,0.9,12.87552906,9.0,0.828571429,11.0,1.0,2.0,28.0,2.4,90.0,8.780952382,12.0,1.142857143,118.0,11.18095238,39.0,157.0,14.73333334,111.0,10.71428572,2.0,168.0,15.73333334,438.0,41.39047619,3.5,3.0,3.5,3.083333333,70.0,0,0,40
Y1050196,3.0,45.83333333,137.5,0.5,4.0,4.0,1.0,6.5,6.5,0.0,0.0,0.0,1.5,0.0,0.0,7.439991849,0.5,0.25,1.5,1.0,0.0,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.5,0.5,1.5,0.75,2.0,1.25,0.0,3.0,1.75,6.5,3.75,0.0,0.0,0.0,0.0,17.5,0,0,10
Y1050197,4.5,279.3333333,1213.5,3.0,30.83333334,92.5,3.0,26.375,69.5,0.0,0.0,0.0,12.5,10.0,0.8012820509999999,9.859604136,6.5,0.5256410260000001,11.5,0.919871795,1.5,16.0,1.266025641,12.0,0.971153846,6.0,0.490384615,28.0,2.237179488,19.0,47.0,3.785256411,28.5,2.301282051,1.5,59.5,4.785256411000001,136.5,10.99038462,6.0,3.0,3.5,8.388333333,72.5,1,1,80
Y1050198,2.0,241.25,482.5,2.0,26.75,53.5,2.0,17.5,35.0,0.0,0.0,0.0,6.5,5.5,0.875,13.33971435,5.5,0.8375,6.5,1.0,1.0,5.0,0.775,7.5,1.0875,1.5,0.3,12.5,1.8625,12.5,25.0,3.875,15.0,2.325,1.0,31.5,4.875,72.5,11.2,0.0,0.0,0.0,0.0,57.5,0,0,20
Y1050199,3.5,275.4166667,923.5,2.0,43.5,87.0,3.0,40.16666667,120.5,0.0,0.0,0.0,12.0,10.0,0.8428571429999999,7.199587967,5.0,0.414285715,12.0,1.0,1.0,63.0,5.614285714,20.0,1.7571428569999998,4.5,0.37857142899999996,83.0,7.371428572,20.5,103.5,9.035714286000001,36.0,3.0857142860000004,1.0,115.5,10.03571429,256.0,22.24285715,21.0,3.5,7.0,7.583333333,77.5,0,0,30
Y1050200,3.0,321.1666667,963.5,2.0,34.75,69.5,2.0,72.25,144.5,0.0,0.0,0.0,6.0,4.5,0.7571428570000001,11.12698981,5.0,0.828571429,5.5,0.9285714290000001,0.5,12.5,1.871428572,71.5,13.15714286,12.0,2.057142857,84.0,15.02857143,52.5,136.5,24.32857143,89.0,16.14285714,0.5,142.5,25.32857143,368.5,65.87142857,7.0,2.0,2.0,4.333333333,47.5,0,0,30
Y1050201,4.0,264.0,1056.0,2.5,27.0,60.5,3.5,39.83333334,137.5,0.0,0.0,0.0,12.0,11.0,0.916666667,12.84705686,7.0,0.583333333,12.0,1.0,1.0,18.0,1.5,64.5,5.375,14.0,1.166666666,82.5,6.875,30.0,112.5,9.375,90.0,7.5,1.0,124.5,10.375,328.0,27.33333334,2.0,1.0,1.0,7.388333332999999,75.0,1,1,68
Y1050202,4.0,188.5,754.0,3.0,19.16666667,57.5,3.0,30.33333334,91.0,0.0,0.0,0.0,9.5,9.5,1.0,9.806498614,1.0,0.105555556,9.5,1.0,2.5,1.0,0.111111111,65.5,6.872222222,11.5,1.222222222,66.5,6.983333334,12.5,79.0,8.311111111,84.0,8.833333334,2.5,88.5,9.311111111,254.0,26.71666667,3.0,2.0,3.0,8.153333332999999,87.5,1,1,75
